Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0BY1Z9egLzjB375yyzPHTZ,"Turbo Dreams","Orchestra of Bubbles","Ellen Allien;Apparat",2006-10-06,248800,0,false,,2011-01-06T10:25:50Z,"acid techno,techno,minimal techno,electroclash,idm,glitch","BPitch Control",0.824,0.739,4,-11.673,0,0.0896,0.057,0.79,0.109,0.523,129.99,4
spotify:track:7kAjylHXIEMxdmSMteSjnf,"Rotary","Orchestra of Bubbles","Ellen Allien;Apparat",2006-10-06,263866,0,false,,2011-01-06T10:56:33Z,"acid techno,techno,minimal techno,electroclash,idm,glitch","BPitch Control",0.638,0.786,2,-8.615,1,0.0557,0.0868,0.859,0.108,0.875,135.021,4
spotify:track:3zf7uD8ClQ2TXGMZlXISup,"Poison Lips","Flashmob","Vitalic",2009-09-28,234240,0,false,,2011-01-06T11:58:55Z,"electroclash,french house,electro,electronica","Different Recordings",0.628,0.92,10,-5.052,0,0.0417,0.000319,0.609,0.0785,0.502,126.323,4
spotify:track:6faLw9bLZ21Y6BDBeOUfF8,"Charlotte","The Sun & The Neon Light","Booka Shade",2008-08-19,271466,0,false,,2011-01-06T12:46:17Z,"minimal techno,melodic house,melodic techno,electronica","Get Physical Music",0.691,0.751,7,-9.838,0,0.0465,0.0051,0.808,0.34,0.544,126.005,4
spotify:track:39xYab8Nqh5YaK4ZC6HgbM,"Regenerate","More!","Booka Shade",2010-04-26,333240,0,false,,2011-01-06T12:51:31Z,"minimal techno,melodic house,melodic techno,electronica","Kammermeier and Merziger",0.843,0.573,7,-9.62,1,0.177,0.209,0.771,0.547,0.559,125.008,4
spotify:track:6IlqK3pStGJVl2uv9HeWOz,"In White Room","The Other Side - Berlin","Booka Shade",2007-03-20,264800,0,false,,2011-01-06T12:57:09Z,"minimal techno,melodic house,melodic techno,electronica","Deaf, Dumb & Blind",0.803,0.653,10,-8.689,0,0.0544,0.00511,0.835,0.0992,0.181,125.013,3
spotify:track:7EYfzmMV1H9QFXTqbgYhd7,"Teenage Spaceman","More!","Booka Shade",2010-04-26,335120,0,false,,2011-01-06T13:02:07Z,"minimal techno,melodic house,melodic techno,electronica","Kammermeier and Merziger",0.742,0.672,2,-9.15,0,0.0481,0.0964,0.915,0.67,0.125,127.98,4
spotify:track:07FlO9FU944VhPZGXcfrqA,"Yeah","1010 / Yeah","Boys Noize",2010-10-03,321800,0,false,,2011-01-06T14:02:38Z,"electro house","Boysnoize Records",0.68,0.849,2,-3.926,0,0.0892,0.000478,0.9,0.0571,0.494,126.005,4
spotify:track:1Ty89lJJHqFMt3ckz0KDNk,"The Knife: Heartbeats (Rex The Dog Remix)","The Rex The Dog Show","Rex The Dog",2008-01-01,212026,0,false,,2011-01-06T14:23:03Z,"electroclash,indie dance","Co-operative Music",0.784,0.481,8,-10.023,1,0.065,0.0577,0.01,0.475,0.709,117.014,4
spotify:track:3bD4fkerppm0axHVUvDqAE,"When I Grow Up - Håkan Lidbo's Encephalitis Remix","When I Grow Up","Fever Ray",2009-03-30,359386,0,false,,2011-01-07T13:34:47Z,"","Universal Music Ltd.",0.635,0.862,0,-5.925,1,0.439,0.0437,0.000167,0.0906,0.78,122.98,4
spotify:track:0zz1oVymyFDZHAWxFIWj6e,"Antillas (XXXchange Remix)","Antillas","El Guincho",2009-08-30,403400,0,false,,2011-01-08T12:09:33Z,"","Young Turks",0.574,0.66,5,-7.089,0,0.221,0.252,0.076,0.0913,0.55,131.02,4
spotify:track:5GQQ5pCrE9POxtxGG1inxq,"Antidote","Antidote","Swedish House Mafia;Knife Party",2011,374124,0,false,,2012-08-01T03:34:37Z,"edm,dubstep,moombahton,dub","Virgin Records",0.733,0.821,7,-6.021,1,0.0991,0.000643,0.373,0.0617,0.63,128.013,4
spotify:track:0JQxsVjDx9mECDY0t976jr,"Ladi Dadi - Tommy Trash Remix","Ladi Dadi","Steve Aoki;Wynter Gordon",2012,314113,10,false,,2012-08-01T03:37:22Z,"electro house,edm","541",0.687,0.97,9,-4.603,0,0.127,0.00122,0.000524,0.168,0.071,128.974,4
spotify:track:3Z7xwub21RQD1t3wz6mVzH,"There And Back","There And Back","Wolfgang Gartner",2012-02-14,394418,0,false,,2012-08-01T04:01:02Z,"electro house,dubstep,house","Ultra Records",0.855,0.922,1,-2.472,1,0.0483,0.0000941,0.894,0.452,0.444,129.011,4
spotify:track:0H1kqoahywcMhXSZ07VoVf,"Lick It - Extended","Lick It","Kaskade;Skrillex",2012,271439,1,false,,2012-08-01T04:18:50Z,"edm,dubstep,electro,electronic","La Musique Fait La Force",0.795,0.874,11,-5.097,0,0.111,0.000458,0.782,0.0451,0.306,128.013,4
spotify:track:48rAo25oKdxCIrZRqGR20J,"Munster","Munster","Hardwell;JoeySuki",2011-12-05,348867,0,false,,2012-08-01T04:30:40Z,"big room,edm,progressive house,electronica,hardstyle","Revealed Recordings",0.594,0.95,2,-3.737,1,0.0788,0.00317,0.835,0.0724,0.0786,128.011,4
spotify:track:61S6wtjY80a6vHxP3JHSgE,"212","212","Azealia Banks;Lazy Jay",2011,203373,0,true,,2012-08-01T04:34:35Z,"ballroom vogue,hip house","Digital Distribution Latvia",0.848,0.763,11,-7.485,0,0.289,0.0744,0,0.143,0.663,126.012,4
spotify:track:3GC3xIxWImpR7dfv2F81ze,"Greyhound","Greyhound","Swedish House Mafia",2012,411017,1,false,,2012-08-01T05:08:07Z,"edm","Virgin Records",0.723,0.806,7,-4.805,0,0.0545,0.00702,0.846,0.267,0.552,125.029,4
spotify:track:4PQeVJ58l7KDNqtfD8ok80,"Come Alive - Original","Come Alive","Netsky",2012-05-21,250060,0,false,,2012-08-01T22:24:04Z,"drum and bass,liquid funk,chillstep","La Musique Fait La Force",0.455,0.863,9,-3.259,0,0.116,0.000524,0.274,0.171,0.344,172.995,4
spotify:track:3Efo6aJ4JN0K0ccg0kysfa,"Momentum - Original Mix","Momentum","Dimitri Vegas & Like Mike;Regi",2012-02-28,400202,0,false,,2012-08-02T00:03:57Z,"big room,electronica,edm","Smash The House",0.533,0.634,2,-6.384,1,0.0288,0.00662,0.767,0.0642,0.119,126.996,4
spotify:track:3xOFBGzQKgBAIwkoJF3XHC,"Stomp","Stomp / Mother Circuit","Strip Steve",2012-05-06,271627,0,false,,2012-08-02T00:25:26Z,"french house,acid house","Boysnoize Records",0.618,0.733,9,-7.307,0,0.216,0.00887,0.866,0.0936,0.197,126.483,4
spotify:track:1S292Kl4QSyCrNSrGre1dE,"Inner O - Scntst Circuit Remix","Inner O Remixes","Dems",2012-04-16,350000,0,false,,2012-08-02T00:32:23Z,"","Bad Life",0.429,0.857,10,-8.808,0,0.384,0.00377,0.652,0.112,0.0494,215.003,3
spotify:track:2LkDMvteVZ0HUqBApHaBoj,"The Night Out - A-Trak Remix","The Night Out EP","Martin Solveig",2012-01-01,360093,0,false,,2012-08-02T02:38:50Z,"french house","Universal Music S.A.",0.758,0.961,1,-2.972,0,0.202,0.023,0.201,0.359,0.33,127.984,4
spotify:track:7qBJh394ihSV3hAakGLE0S,"Take You Higher - Club Mix","Take You Higher","Goodwill;Hook N Sling",2011-11-14,413437,0,false,,2012-08-02T02:51:59Z,"","La Musique Fait La Force",0.711,0.717,1,-6.543,1,0.0329,0.00389,0.165,0.0668,0.403,127.996,4
