Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2U2TClQMKD3wgnaObgGqaN,"Starlit","Central Flow","Variety Lights",2012-06-11,379512,0,false,5forty,2014-02-13T22:34:04Z,"chillwave,alt country","Fire Records",0.561,0.758,6,-5.776,1,0.033,0.217,0.216,0.139,0.306,110.007,4
spotify:track:7rGQhbAQQmoiQ1vE1XPWR5,"Establishment","Central Flow","Variety Lights",2012-06-11,233241,0,false,5forty,2014-02-13T22:34:04Z,"chillwave,alt country","Fire Records",0.382,0.348,7,-9.44,1,0.0293,0.0388,0,0.394,0.26,107.268,4
spotify:track:0T9dc7OmXj2jhoLIw3E2cq,"Sea Faraway","Central Flow","Variety Lights",2012-06-11,97233,0,false,5forty,2014-02-13T22:34:04Z,"chillwave,alt country","Fire Records",0.445,0.927,1,-6.401,1,0.0477,0.0191,0.0168,0.296,0.488,120.04,4
spotify:track:0rknsN4roClEE4sPPyWAnf,"Invisible Forest","Central Flow","Variety Lights",2012-06-11,335026,0,false,5forty,2014-02-13T22:34:04Z,"chillwave,alt country","Fire Records",0.191,0.862,11,-7.32,0,0.0551,0.000142,0.000129,0.15,0.243,188.444,5
spotify:track:13nBmghzRniQcU9rAknUbY,"Silent Too Long","Central Flow","Variety Lights",2012-06-11,180067,0,false,5forty,2014-02-13T22:34:04Z,"chillwave,alt country","Fire Records",0.682,0.656,1,-5.113,1,0.0241,0.355,0.0000284,0.129,0.71,110.086,4
spotify:track:0f304tsGaLZTAp1oaPYJ8t,"Oh Setting Sun","Central Flow","Variety Lights",2012-06-11,324429,0,false,5forty,2014-02-13T22:34:04Z,"chillwave,alt country","Fire Records",0.402,0.67,5,-7.051,1,0.0489,0.19,0.00151,0.124,0.532,190.047,4
spotify:track:67DGlwtR2o73qYPBJOOxtF,"Sell Your Soul","Central Flow","Variety Lights",2012-06-11,256882,0,false,5forty,2014-02-13T22:34:04Z,"chillwave,alt country","Fire Records",0.624,0.823,9,-6.003,0,0.0563,0.0307,0.00269,0.64,0.364,120.024,4
spotify:track:6vfwoe1PSqAEOzGwBrgNqM,"You Are So Famous","Central Flow","Variety Lights",2012-06-11,151440,0,false,5forty,2014-02-13T22:34:04Z,"chillwave,alt country","Fire Records",0.718,0.487,5,-9.056,0,0.0338,0.101,0.119,0.494,0.416,110.048,5
spotify:track:26pLNI3kRP3A28LfooVkZt,"Crystal Cove","Central Flow","Variety Lights",2012-06-11,266866,0,false,5forty,2014-02-13T22:34:04Z,"chillwave,alt country","Fire Records",0.606,0.644,9,-8.569,1,0.0294,0.538,0.00821,0.387,0.41,116.033,4
spotify:track:65KyUGYrAX87KLZKlmuxJT,"Feeling All Alone","Central Flow","Variety Lights",2012-06-11,470201,0,false,5forty,2014-02-13T22:34:04Z,"chillwave,alt country","Fire Records",0.602,0.716,2,-7.838,1,0.036,0.697,0.616,0.0786,0.428,120.339,4
spotify:track:1nnUoX3v66lVrZHGkUlClO,"Infinity Room","Central Flow","Variety Lights",2012-06-11,338451,0,false,5forty,2014-02-13T22:34:04Z,"chillwave,alt country","Fire Records",0.355,0.62,8,-9.981,1,0.0585,0.898,0.871,0.679,0.035,109.051,3
