Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:39JLe2pIwkJqVDqGrjjkti,"Burn That Kush","Next Life","DJ Spinn;Taso",2014-11-10,216870,0,false,5forty,2015-03-03T07:51:39Z,"footwork,chicago house,baltimore club,miami bass,drumstep","Hyperdub",0.707,0.8,11,-6.661,0,0.227,0.00774,0.161,0.148,0.617,159.982,4
spotify:track:2qt5ebkivfdelqT3Fz5Frh,"Do This Again","Next Life","Earl;Taye",2014-11-10,245506,0,false,5forty,2015-03-03T07:51:39Z,"blues,classic blues,footwork","Hyperdub",0.492,0.79,6,-8.369,0,0.0593,0.0000959,0.852,0.0827,0.6,160.083,4
spotify:track:36jkw1C8hHOB8ppmZnSdNY,"The Matrixx","Next Life","DJ Taye;DJ Manny",2014-11-10,192389,0,false,5forty,2015-03-03T07:51:39Z,"footwork,baltimore club,chicago house","Hyperdub",0.705,0.992,2,-5.255,1,0.152,0.0326,0.886,0.0827,0.724,160.037,4
spotify:track:5QzccTMcS7aoHtPmrPJIZP,"Godz House","Next Life","DJ Phil",2014-11-10,240196,0,false,5forty,2015-03-03T07:51:39Z,"footwork","Hyperdub",0.665,0.925,5,-6.235,0,0.199,0.449,0.535,0.1,0.648,160.034,4
spotify:track:1wubYkuvVPD9clOiAkVnXm,"Dnb Spaceout","Next Life","DJ Tre",2014-11-10,193514,0,false,5forty,2015-03-03T07:51:39Z,"new orleans bounce,footwork,bounce","Hyperdub",0.705,0.84,4,-8.072,1,0.102,0.000094,0.889,0.0997,0.515,160.111,4
spotify:track:4MSUHmdtsHKGZKZTYnR1i3,"Sit Ya Self Down","Next Life","Traxman",2014-11-10,238233,0,false,5forty,2015-03-03T07:51:39Z,"footwork,chicago house,baltimore club,miami bass","Hyperdub",0.463,0.545,6,-9.895,0,0.0732,0.0303,0.549,0.0862,0.27,121.267,3
spotify:track:70ODTsk7cpqFk0Xu8LvzVp,"Live in Chicago Subway","Next Life","Sirr TMO",2014-11-10,288013,0,false,5forty,2015-03-03T07:51:39Z,"footwork,uk funky","Hyperdub",0.443,0.717,9,-10.489,0,0.0428,0.0168,0.908,0.108,0.225,120,3
spotify:track:0kGJTYFkCxNMP0eVxeRQBT,"That's It 4 Lil Ma","Next Life","RP Boo",2014-11-10,192425,0,false,5forty,2015-03-03T07:51:39Z,"footwork","Hyperdub",0.564,0.924,7,-4.963,1,0.273,0.0386,0.00417,0.132,0.431,157.621,4
spotify:track:5FXoBiLcggAFoMm8AjrquL,"Jungle Juke","Next Life","Gant-Man",2014-11-10,221923,0,false,5forty,2015-03-03T07:51:39Z,"footwork,chicago house","Hyperdub",0.724,0.63,7,-6.877,1,0.125,0.0139,0.825,0.159,0.268,139.947,4
spotify:track:5mIARoCWFCrkej1OX4dG3J,"Harvey Ratchet","Next Life","DJ Manny",2014-11-10,196972,0,false,5forty,2015-03-03T07:51:39Z,"footwork,baltimore club,chicago house","Hyperdub",0.8,0.551,7,-7.729,1,0.289,0.0198,0.00000183,0.335,0.214,79.925,4
