Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5ltXX6O98rXHPYVtjRCBxi,"Draw(in)g to a W(h)ole","Vehicle","The Clean",1990,122227,0,false,5forty,2013-08-27T22:13:46Z,"jangle pop","Flying Nun Records",0.423,0.932,7,-3.985,1,0.0444,0.0191,0.00665,0.138,0.695,149.218,4
spotify:track:1nmeWdgC5vTquosYZx7Lr0,"I Wait Around","Vehicle","The Clean",1990,160939,0,false,5forty,2013-08-27T22:13:46Z,"jangle pop","Flying Nun Records",0.336,0.97,2,-3.61,1,0.0803,0.0197,0.358,0.331,0.285,137.932,4
spotify:track:3WKQDK5yhdxlOsD4viAQXR,"Bye Bye","Vehicle","The Clean",1990,135583,0,false,5forty,2013-08-27T22:13:46Z,"jangle pop","Flying Nun Records",0.341,0.866,7,-2.631,1,0.0426,0.038,0.0871,0.402,0.735,151.099,4
spotify:track:64odZAf4iL0qTSCF0TKWNc,"The Blue","Vehicle","The Clean",1990,104748,0,false,5forty,2013-08-27T22:13:46Z,"jangle pop","Flying Nun Records",0.414,0.971,6,-4.219,0,0.0403,0.175,0.0027,0.379,0.967,151.537,4
spotify:track:4RHvD8k49vEUFy4SkOMoBy,"Dunes","Vehicle","The Clean",1990,182456,0,false,5forty,2013-08-27T22:13:46Z,"jangle pop","Flying Nun Records",0.469,0.948,2,-4.001,1,0.0397,0.00477,0.0868,0.682,0.739,146.692,4
spotify:track:3d6T9loEZlClNmcrw1Bx8i,"Some Ones","Vehicle","The Clean",1990,112128,0,false,5forty,2013-08-27T22:13:46Z,"jangle pop","Flying Nun Records",0.415,0.985,9,-4.569,0,0.111,0.00112,0.00907,0.314,0.392,149.846,4
spotify:track:4qITfkKpEovt8XDNfZMSyf,"Home","Vehicle","The Clean",1990,120954,0,false,5forty,2013-08-27T22:13:46Z,"jangle pop","Flying Nun Records",0.602,0.29,4,-10.097,1,0.0943,0.755,0.0291,0.338,0.201,117.661,1
spotify:track:4tXYQdkzFxHJfbVs5ZbIN5,"Diamond Shine","Vehicle","The Clean",1990,192228,0,false,5forty,2013-08-27T22:13:46Z,"jangle pop","Flying Nun Records",0.445,0.962,2,-4.18,1,0.0549,0.0277,0.71,0.178,0.874,150.98,4
spotify:track:6F7PaFnWbjqqr85wJglCcF,"Getting to You","Vehicle","The Clean",1990,109473,0,false,5forty,2013-08-27T22:13:46Z,"jangle pop","Flying Nun Records",0.337,0.876,9,-3.897,1,0.0395,0.483,0.00393,0.319,0.801,143.585,4
spotify:track:3avTcXRjcR7XFhFQLadoQN,"Big Soft Punch","Vehicle","The Clean",1990,151354,0,false,5forty,2013-08-27T22:13:46Z,"jangle pop","Flying Nun Records",0.442,0.887,2,-4.389,1,0.0342,0.0384,0.194,0.321,0.923,145.925,4
spotify:track:2utwP2tR5gnNojkXU9CD0R,"Big Cat","Vehicle","The Clean",1990,101417,0,false,5forty,2013-08-27T22:13:46Z,"jangle pop","Flying Nun Records",0.34,0.962,0,-3.516,1,0.0606,0.0685,0.794,0.259,0.921,156.019,4
spotify:track:7nMqYSiFndYTFSCSL8SPg2,"I Can See","Vehicle","The Clean",1990,154358,0,false,5forty,2013-08-27T22:13:46Z,"jangle pop","Flying Nun Records",0.566,0.439,4,-8.161,1,0.0396,0.754,0.0457,0.289,0.267,118.75,4
spotify:track:6kPPzJcxl0Z2NBkW3aTgEP,"Gem","Vehicle","The Clean",1990,68698,0,false,5forty,2013-08-27T22:13:46Z,"jangle pop","Flying Nun Records",0.741,0.193,2,-12.049,1,0.0495,0.879,0.863,0.124,0.344,122.756,4
spotify:track:0XZLkskcrK4TgBAnwsTvk7,"Fish (Live)","Vehicle","The Clean",1990,175007,0,false,5forty,2013-08-27T22:13:46Z,"jangle pop","Flying Nun Records",0.413,0.966,3,-6.85,1,0.0754,0.000141,0.868,0.0594,0.217,143.578,4
spotify:track:5HyAeQqHYncPRYaVvZrPpc,"Anything Could Happen (Live)","Vehicle","The Clean",1990,134843,0,false,5forty,2013-08-27T22:13:46Z,"jangle pop","Flying Nun Records",0.329,0.975,4,-4.343,1,0.115,0.0019,0.002,0.781,0.321,142.393,4
spotify:track:3vNfBrPLllXyrGuOJ3ssSZ,"Flowers (Live)","Vehicle","The Clean",1990,161541,0,false,5forty,2013-08-27T22:13:46Z,"jangle pop","Flying Nun Records",0.239,0.843,7,-5.047,0,0.0652,0.193,0.344,0.0918,0.534,90.546,5
spotify:track:4iYe7AA1XgqFzYksTkhhQA,"Point That Thing Somewhere Else (Live)","Vehicle","The Clean",1990,226258,0,false,5forty,2013-08-27T22:13:46Z,"jangle pop","Flying Nun Records",0.315,0.997,0,-4.947,0,0.172,0.000108,0.703,0.733,0.0863,147.145,4
spotify:track:280PUQFYtwonR6e1kmJabb,"Whatever I Do Is Right (Live)","Vehicle","The Clean",1990,165961,0,false,5forty,2013-08-27T22:13:46Z,"jangle pop","Flying Nun Records",0.491,0.969,0,-6.09,1,0.0874,0.00451,0.29,0.655,0.332,147.776,4
