Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1oySdWljlrdGqxvVfsAKeQ,"Vertical","Dilate (Special Edition)","Vessels",2016-04-01,355002,0,false,5forty,2016-07-05T19:25:33Z,"post-rock,math rock","Different Recordings",0.542,0.386,10,-15.232,0,0.0361,0.199,0.92,0.106,0.0606,128.017,4
spotify:track:6j6WfATnExJBUbJw4bBGak,"Elliptic","Dilate (Special Edition)","Vessels",2016-04-01,527840,0,false,5forty,2016-07-05T19:25:33Z,"post-rock,math rock","Different Recordings",0.507,0.671,10,-11.366,0,0.0328,0.0939,0.917,0.161,0.299,123.003,4
spotify:track:4a8CW6M5wqTPYA1B0hvuJQ,"Echo In","Dilate (Special Edition)","Vessels",2016-04-01,201494,0,false,5forty,2016-07-05T19:25:33Z,"post-rock,math rock","Different Recordings",0.489,0.587,5,-9.775,0,0.0279,0.0947,0.941,0.103,0.153,145.006,4
spotify:track:5PtYuQ1akgmB1wdXma5vQh,"As You Are","Dilate (Special Edition)","Vessels;Isolde Freeth-Hale",2016-04-01,252159,0,false,5forty,2016-07-05T19:25:33Z,"post-rock,math rock","Different Recordings",0.628,0.599,4,-13.877,0,0.0397,0.542,0.897,0.3,0.04,119.99,3
spotify:track:278JdaEg6QtBKfokf0Czq2,"Attica","Dilate (Special Edition)","Vessels",2016-04-01,400332,0,false,5forty,2016-07-05T19:25:33Z,"post-rock,math rock","Different Recordings",0.522,0.774,10,-8.562,0,0.0507,0.00554,0.857,0.114,0.131,125.074,4
spotify:track:463TxA5TogaU2AGpm8gJA8,"On Monos","Dilate (Special Edition)","Vessels;Snow Fox",2016-04-01,405170,0,false,5forty,2016-07-05T19:25:33Z,"post-rock,math rock","Different Recordings",0.546,0.739,7,-8.385,1,0.0334,0.0211,0.537,0.0995,0.0386,119.99,4
spotify:track:1qjZw33AAZHHvozzOqAnDK,"Glass Lake","Dilate (Special Edition)","Vessels",2016-04-01,381512,0,false,5forty,2016-07-05T19:25:33Z,"post-rock,math rock","Different Recordings",0.336,0.455,7,-11.344,0,0.0327,0.00967,0.867,0.377,0.0538,124.018,4
spotify:track:4b6GoxuWKqFRoNIS1YGM3w,"On Your Own Ten Toes","Dilate (Special Edition)","Vessels",2016-04-01,442729,0,false,5forty,2016-07-05T19:25:33Z,"post-rock,math rock","Different Recordings",0.543,0.436,7,-12.137,1,0.0372,0.0724,0.934,0.118,0.0369,126.984,4
spotify:track:0nS6r9injyz3BdWenW29SG,"Beautiful You Me","Dilate (Special Edition)","Vessels",2016-04-01,323970,0,false,5forty,2016-07-05T19:25:33Z,"post-rock,math rock","Different Recordings",0.404,0.773,1,-9.181,1,0.0517,0.00722,0.228,0.349,0.174,157.014,4
spotify:track:7r5lF3RJeOo5CCDZStBrZf,"4AM","Dilate (Special Edition)","Vessels",2016-04-01,395229,0,false,5forty,2016-07-05T19:25:33Z,"post-rock,math rock","Different Recordings",0.482,0.794,0,-10.8,0,0.0442,0.0939,0.849,0.107,0.0382,150.036,4
spotify:track:3gNpkolAX9p9TC4TRcUY4F,"4AM - FaltyDL Remix","Dilate (Special Edition)","Vessels;FaltyDL",2016-04-01,271106,0,false,5forty,2016-07-05T19:25:33Z,"post-rock,math rock,idm,ballroom vogue,uk funky","Different Recordings",0.463,0.943,8,-9.896,1,0.0568,0.000466,0.43,0.333,0.12,137.055,4
spotify:track:3JmfUUPgGmACzxKhNm7fpx,"4AM - LV Remix","Dilate (Special Edition)","Vessels;LV",2016-04-01,327146,0,false,5forty,2016-07-05T19:25:33Z,"post-rock,math rock,uk funky","Different Recordings",0.433,0.545,5,-6.939,1,0.0436,0.241,0.915,0.439,0.0747,75.056,4
spotify:track:5bCpwfc6CHIe3U5iyecLhL,"Elliptic - Throwing Snow Remix","Dilate (Special Edition)","Vessels;Throwing Snow",2016-04-01,421488,0,false,5forty,2016-07-05T19:25:33Z,"post-rock,math rock,idm","Different Recordings",0.59,0.843,10,-10.305,0,0.0416,0.00543,0.922,0.063,0.185,123.01,4
