Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4K01RAflumpTTDUhQj7tXS,"Song Without Words","Half Dreaming","Burrrn",2008-08-18,144720,0,false,5forty,2014-02-18T21:32:24Z,"shoegaze,dream pop,slowcore","Quince",0.169,0.829,9,-0.692,1,0.053,0.0000582,0.874,0.0979,0.422,128.751,4
spotify:track:3jvwWkDJFgfTDKqV5doF6o,"Cataclysmic","Half Dreaming","Perfect Angel",2008-08-18,236586,0,false,5forty,2014-02-18T21:32:24Z,"shoegaze,dream pop,indonesian indie","Quince",0.548,0.92,2,-5.524,1,0.0311,0.00165,0.786,0.162,0.672,120.021,3
spotify:track:5eq2sEROFeqQ9yFNKUF3Nf,"Seisou","Half Dreaming","Monocism",2008-08-18,286440,0,false,5forty,2014-02-18T21:32:24Z,"shoegaze,dream pop,japanese indie","Quince",0.29,0.805,9,-5.211,1,0.0428,0.000729,0.704,0.295,0.216,149.934,1
spotify:track:00KjiIWCrc5nXGdoTBoMPC,"Strawberry Cream","Half Dreaming","Oeil",2008-08-18,230560,0,false,5forty,2014-02-18T21:32:24Z,"shoegaze,dream pop,japanese indie,slowcore","Quince",0.0973,0.825,3,-4.559,1,0.0579,0.454,0.933,0.0942,0.156,160.067,4
spotify:track:2Xn4wyzra5H5hxmc5T4a61,"Great Little Ones","Half Dreaming","Nanocycle",2008-08-18,271813,0,false,5forty,2014-02-18T21:32:24Z,"shoegaze,dream pop,japanese indie","Quince",0.205,0.72,7,-5.802,1,0.0734,0.0000221,0.815,0.117,0.21,128.546,4
spotify:track:1YZT8YLmCrNRA3kNgF2UjO,"La La La","Manic Sheep","Manic Sheep",2012-12-09,315013,0,false,5forty,2014-03-30T08:32:02Z,"taiwanese indie,chinese indie,shoegaze,dream pop,chinese rock,math rock","ULOUD MUSIC",0.47,0.851,2,-3.578,1,0.0298,0.0113,0.0000313,0.132,0.499,134.991,4
spotify:track:5QtS0oy3aU73pw8G4xqK9U,"Perspective","Solar Days And Lunar Nights","Edweena",2013-09-20,263380,0,false,5forty,2014-03-30T08:32:17Z,"shoegaze,neo-psychedelic,dream pop","Record Union",0.231,0.504,11,-9.345,0,0.0493,0,0.899,0.0804,0.262,120.34,4
spotify:track:0NUDb6MKE0lNayvh1lw3Hr,"The World on Drugs","Deep Trip","Destruction Unit",2013-08-20,294100,0,false,5forty,2014-03-30T08:32:35Z,"noise rock,psychedelic rock","Sacred Bones Records",0.164,0.991,0,-2.952,1,0.139,0.00191,0.814,0.634,0.0302,112.193,4
spotify:track:4p6BWUQphGDEDCt4GceKRy,"Scattered in the Wind","Recurring Dream","Implodes",2013-04-01,328640,2,false,5forty,2014-03-30T08:32:48Z,"drone,shoegaze,neoclassical,post-rock","kranky",0.395,0.873,8,-4.87,1,0.0423,0.124,0.603,0.0702,0.516,116.08,4
spotify:track:6Up4F9s765OY3kyNBuuOT3,"Collider","Collider","Roku Music",2014-03-01,340772,4,false,5forty,2014-03-30T08:33:04Z,"shoegaze,dream pop,neo-psychedelic","Sonic Masala Records",0.336,0.705,1,-11.621,0,0.0486,0.00807,0.888,0.166,0.149,108.973,4
spotify:track:5h4i4TVSLuikpaAu3d4RoE,"Like You Said","Flyying Colours","Flyying Colours",2014-03-10,236786,2,false,5forty,2014-03-30T08:33:24Z,"shoegaze,dream pop,neo-psychedelic","Club AC30",0.325,0.84,2,-5.085,1,0.0573,0.00000456,0.921,0.259,0.353,99.989,4
spotify:track:6r8SouDLo54hOEZtqWOt3n,"Fix Your Eyes On","Half Dreaming","Sharesprings",2008-08-18,291666,0,false,5forty,2014-03-30T08:33:39Z,"indonesian indie,shoegaze,dream pop,jangle pop","Quince",0.456,0.799,4,-8.337,1,0.031,0.338,0.97,0.129,0.618,140.1,4
spotify:track:5yvcfEndG8EakJzJ7guyn7,"Swallowtail","3...2...1... A Rocket Girl Compilation","Lemon's Chair",2011-01-24,540693,9,false,5forty,2014-03-30T08:34:23Z,"shoegaze,dream pop,japanese indie","Rocket Girl",0.141,0.777,0,-5.683,1,0.059,0.765,0.676,0.0838,0.0376,140.045,4
