Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5xxcvnMP2tZs89JSkYoms4,"Upheaval","CONTINENT & WESTERN","Fond Of Tigers",2010-09-21,501506,0,false,5forty,2014-02-12T22:13:58Z,"post-rock,krautrock","Drip Audio / Fontana North",0.238,0.238,7,-14.496,1,0.031,0.541,0.89,0.098,0.0358,72.791,1
spotify:track:307eYqbwxZ07rpKoci0OWA,"Beautiful Life","Downtempo - Minimal Techno","Gui Boratto",2008-01-01,506720,0,false,5forty,2014-02-12T22:31:27Z,"minimal techno","Switch On Records",0.465,0.457,8,-15.132,1,0.0435,0.329,0.00166,0.122,0.0494,124.987,4
spotify:track:4iYKSlhUL2LqEjpXTIhbj8,"Tracy - Kid Loco's Playing With the Young Team Remix","Kicking A Dead Pig","Mogwai",1998-05-18,514240,0,false,5forty,2014-02-12T22:46:49Z,"post-rock,shoegaze,math rock","Chemikal Underground",0.502,0.408,7,-13.913,1,0.0264,0.387,0.872,0.171,0.53,78.923,4
spotify:track:7DCw49o8tHQcf34GeFTIX0,"Charming Birds From Trees - RX Gibbs Remix","Moon","Snowbird",2014-01-27,317932,0,false,5forty,2014-02-16T22:00:23Z,"dream pop","Bella Union",0.45,0.56,5,-13.637,1,0.0294,0.42,0.932,0.0914,0.172,122.979,4
spotify:track:3vueemkOoOVLiLy3qnl6Y8,"It's My Way Of Staying Connected","Who Can't Say Yes","She Sir",2007-03-14,262173,8,false,5forty,2014-02-17T21:51:41Z,"shoegaze,dream pop,slowcore","She, Sir",0.175,0.448,9,-9.942,1,0.0352,0.018,0.924,0.135,0.112,72.193,4
spotify:track:7o2v0KeHHBHPNuYIRNwVFE,"Smile","Looking Up","Inner Sleeve",2006-01-01,632200,2,false,5forty,2014-02-18T21:31:12Z,"shoegaze,dream pop,neo-psychedelic","Fierce Panda",0.0912,0.428,2,-9.164,1,0.0445,0.00186,0.888,0.683,0.0388,170.932,4
spotify:track:5cq4fKPfYKDg17ZsJippTw,"Stranger","Glitter","Dead Mellotron",2012-05-07,277040,0,false,5forty,2014-02-20T21:42:31Z,"shoegaze,dream pop","Sonic Cathedral",0.39,0.47,1,-8.97,1,0.0706,0.409,0.913,0.441,0.0467,124.922,4
spotify:track:150iISzsMTvEWqMg1yWJUt,"Bye","Glitter","Dead Mellotron",2012-05-07,297093,0,false,5forty,2014-02-20T21:50:22Z,"shoegaze,dream pop","Sonic Cathedral",0.162,0.179,7,-11.075,1,0.0526,0.896,0.735,0.377,0.0349,129.028,5
spotify:track:5pJyZDLY2ZJKYaUi2XoArm,"Fall","Cheatahs","Cheatahs",2014-02-10,203293,0,false,5forty,2014-02-27T01:17:56Z,"shoegaze,dream pop","Wichita Recordings",0.255,0.81,5,-2.503,1,0.0423,0.00000191,0.902,0.358,0.213,82.983,4
spotify:track:1oNx664byWA9s4nJ5K8UOh,"Chaghaybou","Emmaar","Tinariwen",2014-02-10,293720,0,false,5forty,2014-02-27T22:03:15Z,"gnawa","Wedge",0.611,0.866,7,-6.668,1,0.224,0.503,0.0324,0.134,0.446,131.846,4
spotify:track:09S1pykpDe2iZdQ1guFpBI,"Ice On The Path","d_rradio","D-RRadio",2007-06-01,302666,0,false,5forty,2014-03-12T01:34:09Z,"ambient","Static Caravan",0.371,0.261,6,-17.207,0,0.0365,0.971,0.868,0.11,0.0398,111.947,4
spotify:track:1m2MaXiRnIWcSxmS3KXDAk,"Gurnard","Meet Next Life","Isan",2004-02-09,362360,1,false,5forty,2014-03-12T06:22:15Z,"idm,ambient,drone,neoclassical,glitch","Morr Music",0.634,0.216,6,-16.808,1,0.0431,0.356,0.172,0.101,0.148,84.996,4
spotify:track:5dAAbOy6tYzmw3PX5EkyGI,"Stargazer","When The Sky Comes Down It Comes Down On Your Head","The Zephyrs",2001-09-17,335440,0,false,5forty,2014-04-03T03:35:27Z,"slowcore,dream pop,shoegaze,indie electronic","[PIAS] Recordings",0.371,0.333,9,-11.307,1,0.0289,0.0707,0.331,0.142,0.105,64.507,3
spotify:track:3huBguunVmHyv9cUxdUZmV,"The Tain (Part III)","The Tain","The Decemberists",2004-03-04,304328,0,false,5forty,2014-04-03T03:36:00Z,"baroque pop,indie folk","Acuarela",0.294,0.275,4,-9.354,0,0.0301,0.548,0.0000551,0.109,0.112,85.053,3
