Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7lXaXyY0ViGIwxXMm0wsns,"Phonovisions - Phonovisions Symphonic Version","Phonovisions Symphonic Orchestra","Wax Tailor",2014-11-03,348693,0,false,5forty,2016-01-16T11:27:00Z,"trip hop,plunderphonics,nu jazz,downtempo,electro swing","Lab'Oratoire",0.299,0.822,0,-8.629,0,0.277,0.39,0.933,0.961,0.166,113.888,3
spotify:track:1wP9GHID52onINtZhtuj8n,"Sometimes - Phonovisions Symphonic Version","Phonovisions Symphonic Orchestra","Wax Tailor",2014-11-03,251920,0,false,5forty,2016-01-16T11:27:00Z,"trip hop,plunderphonics,nu jazz,downtempo,electro swing","Lab'Oratoire",0.587,0.76,4,-8.587,0,0.0701,0.275,0.444,0.682,0.363,76.002,4
spotify:track:3DV7PTqkVbINW1bQEFRJU5,"Alien in My Belly - Phonovisions Symphonic Version","Phonovisions Symphonic Orchestra","Wax Tailor",2014-11-03,252053,0,false,5forty,2016-01-16T11:27:00Z,"trip hop,plunderphonics,nu jazz,downtempo,electro swing","Lab'Oratoire",0.234,0.539,2,-7.24,1,0.0408,0.469,0.00168,0.323,0.114,179.553,3
spotify:track:68Zvc7dsUbx3Det2Lom1oS,"Dusty Rainbow - Phonovisions Symphonic Version","Phonovisions Symphonic Orchestra","Wax Tailor",2014-11-03,222320,0,false,5forty,2016-01-16T11:27:00Z,"trip hop,plunderphonics,nu jazz,downtempo,electro swing","Lab'Oratoire",0.486,0.691,5,-6.773,0,0.037,0.397,0.0923,0.703,0.563,78.001,4
spotify:track:6ggCX5AD21eApZ1UGRvqgf,"A Woman's Voice - Phonovisions Symphonic Version","Phonovisions Symphonic Orchestra","Wax Tailor",2014-11-03,272000,0,false,5forty,2016-01-16T11:27:00Z,"trip hop,plunderphonics,nu jazz,downtempo,electro swing","Lab'Oratoire",0.468,0.573,2,-7.923,0,0.0413,0.617,0.293,0.885,0.415,139.884,4
spotify:track:3z9PMas8CS3Vo7c9FP2n0m,"Masquerade Theme - Phonovisions Symphonic Version","Phonovisions Symphonic Orchestra","Wax Tailor",2014-11-03,55320,0,false,5forty,2016-01-16T11:27:00Z,"trip hop,plunderphonics,nu jazz,downtempo,electro swing","Lab'Oratoire",0.326,0.497,1,-9.603,0,0.105,0.604,0.294,0.766,0.33,80.07,4
spotify:track:4ko5APTj9gHfcWoIjjb0oI,"Until Heaven Stops the Rain - Phonovisions Symphonic Version","Phonovisions Symphonic Orchestra","Wax Tailor",2014-11-03,246533,0,false,5forty,2016-01-16T11:27:00Z,"trip hop,plunderphonics,nu jazz,downtempo,electro swing","Lab'Oratoire",0.631,0.765,6,-5.595,1,0.222,0.389,0,0.866,0.707,93.014,4
spotify:track:2ntTvBbaNH7SXaONc1votL,"Hypnosis Theme - Phonovisions Symphonic Version","Phonovisions Symphonic Orchestra","Wax Tailor",2014-11-03,330320,0,false,5forty,2016-01-16T11:27:00Z,"trip hop,plunderphonics,nu jazz,downtempo,electro swing","Lab'Oratoire",0.609,0.712,0,-8.988,1,0.0755,0.285,0.366,0.792,0.354,144.029,4
spotify:track:4uRrz8akEAyEsAj9I6bwxV,"This Train - Phonovisions Symphonic Version","Phonovisions Symphonic Orchestra","Wax Tailor",2014-11-03,236800,0,false,5forty,2016-01-16T11:27:00Z,"trip hop,plunderphonics,nu jazz,downtempo,electro swing","Lab'Oratoire",0.539,0.738,11,-6.419,0,0.128,0.409,0.00017,0.517,0.666,83.021,4
spotify:track:2uTmWaxvFeKDldvN8Uqiia,"Walk the Line - Phonovisions Symphonic Version","Phonovisions Symphonic Orchestra","Wax Tailor",2014-11-03,243493,0,false,5forty,2016-01-16T11:27:00Z,"trip hop,plunderphonics,nu jazz,downtempo,electro swing","Lab'Oratoire",0.569,0.87,11,-5.22,0,0.189,0.582,0.000856,0.886,0.712,87.183,4
