Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5v74YneQLPlv60y0jZFhks,"Hollow Bedroom","Cerulean Salt","Waxahatchee",2013-07-01,111084,0,false,5forty,2013-12-19T04:08:24Z,"alt country","Wichita Recordings",0.365,0.208,1,-12.369,1,0.0285,0.957,0.0005,0.113,0.123,93.804,4
spotify:track:32n7XUyZjy4gIDXWp12U3l,"Dixie Cups and Jars","Cerulean Salt","Waxahatchee",2013-07-01,216224,0,false,5forty,2013-12-19T04:08:24Z,"alt country","Wichita Recordings",0.551,0.354,9,-6.711,0,0.0296,0.369,0.00854,0.112,0.25,120.002,4
spotify:track:7qgUaD3zWytI0CcWW3OSSU,"Lips and Limbs","Cerulean Salt","Waxahatchee",2013-07-01,157895,0,false,5forty,2013-12-19T04:08:24Z,"alt country","Wichita Recordings",0.616,0.494,2,-7.7,1,0.0384,0.527,0.000186,0.116,0.687,140.066,4
spotify:track:69H48QkJD8O5mJK9GradyZ,"Blue Pt. II","Cerulean Salt","Waxahatchee",2013-07-01,139133,0,true,5forty,2013-12-19T04:08:24Z,"alt country","Wichita Recordings",0.774,0.208,11,-14.314,0,0.0369,0.919,0.0000956,0.116,0.46,113.905,4
spotify:track:78EAZbRff3xjZvsAnH7xBZ,"Brother Bryan","Cerulean Salt","Waxahatchee",2013-07-01,156670,0,false,5forty,2013-12-19T04:08:24Z,"alt country","Wichita Recordings",0.733,0.396,0,-9.728,1,0.041,0.579,0.535,0.15,0.438,169.976,3
spotify:track:22r9K6AxcBoJHg1vTZZ3Wy,"Coast to Coast","Cerulean Salt","Waxahatchee",2013-07-01,106250,0,false,5forty,2013-12-19T04:08:24Z,"alt country","Wichita Recordings",0.565,0.728,9,-6.433,1,0.0351,0.00273,0.672,0.149,0.292,120.033,4
spotify:track:6WJfG0IcZkwrvQFGyOAWVE,"Tangled Envisioning","Cerulean Salt","Waxahatchee",2013-07-01,147050,0,false,5forty,2013-12-19T04:08:24Z,"alt country","Wichita Recordings",0.684,0.231,2,-13.173,1,0.0337,0.844,0.00512,0.11,0.33,132.17,4
spotify:track:37gr3dYUizCOpYNrGV4bzt,"Misery Over Dispute","Cerulean Salt","Waxahatchee",2013-07-01,105600,0,false,5forty,2013-12-19T04:08:24Z,"alt country","Wichita Recordings",0.428,0.256,4,-5.778,1,0.0403,0.00642,0.731,0.135,0.471,209.358,4
spotify:track:3Wu5vEvKvroxOJwfjaZbfW,"Lively","Cerulean Salt","Waxahatchee",2013-07-01,152420,0,false,5forty,2013-12-19T04:08:24Z,"alt country","Wichita Recordings",0.602,0.522,11,-11.077,1,0.033,0.176,0.226,0.0917,0.844,90.776,3
spotify:track:1VZ4ocJ1UWc1jQmG98XwND,"Waiting","Cerulean Salt","Waxahatchee",2013-07-01,101239,0,false,5forty,2013-12-19T04:08:24Z,"alt country","Wichita Recordings",0.444,0.497,9,-8.031,1,0.0396,0.0895,0.235,0.0982,0.143,114.923,4
spotify:track:75NbsunsmnoVg8uKGQHtLT,"Swan Dive","Cerulean Salt","Waxahatchee",2013-07-01,194861,0,false,5forty,2013-12-19T04:08:24Z,"alt country","Wichita Recordings",0.534,0.538,1,-8.851,1,0.0255,0.791,0.000762,0.145,0.325,139.991,4
spotify:track:6bfaOKgbGZ8civAFqvcpLe,"Peace and Quiet","Cerulean Salt","Waxahatchee",2013-07-01,157617,0,false,5forty,2013-12-19T04:08:24Z,"alt country","Wichita Recordings",0.652,0.362,4,-6.822,1,0.0277,0.422,0.0000296,0.119,0.375,149.844,4
spotify:track:1fNjgo66XJjoCUInVIgTyw,"You're Damaged","Cerulean Salt","Waxahatchee",2013-07-01,213716,0,false,5forty,2013-12-19T04:08:24Z,"alt country","Wichita Recordings",0.497,0.275,4,-9.106,1,0.046,0.666,0.000281,0.113,0.337,149.046,3
