Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2xEkZmFUpb7Gf1RQL7hbJQ,"Chapel Song","Rise Ye Sunken Ships","Augustines",2011,188666,40,false,5forty,2012-09-25T09:44:14Z,"","Oxcart Records",0.645,0.785,2,-6.552,1,0.037,0.0388,0.125,0.0868,0.809,141.991,4
spotify:track:0z4fYg1pIVV3Hl7AfqtDU8,"Augustine","Rise Ye Sunken Ships","Augustines",2011,255293,20,false,5forty,2012-09-25T09:44:14Z,"","Oxcart Records",0.71,0.797,0,-5.996,1,0.0436,0.0983,0.000018,0.102,0.823,126.011,3
spotify:track:0XHVHF7HkGteQGCr4UNvEt,"Headlong Into The Abyss","Rise Ye Sunken Ships","Augustines",2011,269573,20,false,5forty,2012-09-25T09:44:14Z,"","Oxcart Records",0.418,0.851,2,-5.342,1,0.0434,0.495,0.0243,0.0892,0.169,129.093,4
spotify:track:4ETWD8SUvpRa1aTy6RstOu,"Book Of James","Rise Ye Sunken Ships","Augustines",2011,300426,22,false,5forty,2012-09-25T09:44:14Z,"","Oxcart Records",0.548,0.796,8,-6.387,1,0.0283,0.0134,0.117,0.0993,0.531,113.665,4
spotify:track:5f8xVwabwa0NxKxF7UEZsj,"East Los Angeles","Rise Ye Sunken Ships","Augustines",2011,179546,10,false,5forty,2012-09-25T09:44:14Z,"","Oxcart Records",0.479,0.412,5,-12.185,1,0.0315,0.632,0.00000929,0.195,0.218,119.999,3
spotify:track:5Cyx2p5hociYWXndLh7BGV,"Juarez","Rise Ye Sunken Ships","Augustines",2011,260360,21,false,5forty,2012-09-25T09:44:14Z,"","Oxcart Records",0.591,0.473,0,-6.587,1,0.0306,0.185,0.00232,0.324,0.131,115.942,4
spotify:track:6AEUNZShuWYXzt4oubOlC3,"Philadelphia (The City Of Brotherly Love)","Rise Ye Sunken Ships","Augustines",2011,258066,13,false,5forty,2012-09-25T09:44:14Z,"","Oxcart Records",0.438,0.889,2,-4.369,1,0.053,0.137,0.000572,0.373,0.415,129.037,4
spotify:track:1dZCsqTrjzoE3roWt5qNhk,"New Drink For The Old Drunk","Rise Ye Sunken Ships","Augustines",2011,235133,13,false,5forty,2012-09-25T09:44:14Z,"","Oxcart Records",0.444,0.898,8,-3.761,1,0.043,0.000885,0.000125,0.182,0.604,114.984,4
spotify:track:3C5DQ6nnDjfaLBV5ypiY3n,"Patton State Hospital","Rise Ye Sunken Ships","Augustines",2011,200506,9,false,5forty,2012-09-25T09:44:14Z,"","Oxcart Records",0.496,0.945,0,-5.342,1,0.0567,0.0137,0.0000611,0.152,0.497,140.842,4
spotify:track:4TVNVREkWR5qPW7JKrOZ6u,"Strange Days","Rise Ye Sunken Ships","Augustines",2011,182266,15,false,5forty,2012-09-25T09:44:14Z,"","Oxcart Records",0.575,0.933,11,-6.509,0,0.0456,0.304,0.0429,0.366,0.652,110.978,4
spotify:track:5mXQjJm9tuEpTcSGiXHiUs,"Barrel Of Leaves","Rise Ye Sunken Ships","Augustines",2011,188253,10,false,5forty,2012-09-25T09:44:14Z,"","Oxcart Records",0.541,0.294,0,-12.291,1,0.0313,0.926,0.121,0.111,0.0612,122.039,3
spotify:track:0djv89vZBwjjEs1t8Zt6yD,"The Instrumental","Rise Ye Sunken Ships","Augustines",2011,230773,7,false,5forty,2012-09-25T09:44:14Z,"","Oxcart Records",0.176,0.494,0,-10.288,1,0.0486,0.443,0.921,0.124,0.107,121.526,4
