Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:31DVVa40JpTudyGDNC1ROW,"Everything in Its Right Place","Kid A","Radiohead",2000-10-02,251426,0,false,,2011-07-14T14:32:28Z,"art rock,alternative rock","Parlophone UK",0.293,0.462,5,-11.412,0,0.0453,0.699,0.0444,0.0954,0.0623,124.004,5
spotify:track:6FpEl54LjgU8WM4WbJ7JH4,"Exhausted","Exhausted","Kohinoorgasm",2020-05-28,141061,1,false,efeghali,2021-06-01T14:49:25Z,"","Self-Released",0.518,0.61,1,-12.884,0,0.0498,0.853,0.516,0.11,0.176,129.943,4
spotify:track:1d9K6lxDNAT8AhcMQIUmBF,"Morning Asana","Stay Free","Londrelle",2020-04-11,269000,37,false,efeghali,2021-08-24T20:04:32Z,"spoken word","Eternal Sunshine",0.642,0.594,5,-8.422,1,0.0798,0.804,0.000348,0.22,0.297,67.503,4
spotify:track:4S2Aq3ipwS28oUzHvHffHM,"Self Love","The Philharmonik","The Philharmonik",2018-03-01,205714,7,true,efeghali,2018-03-01T17:54:47Z,"","Sol Life",0.773,0.506,6,-8.293,1,0.357,0.264,0,0.0714,0.342,140.029,4
spotify:track:0DAsxISzun85PbsqAfIzeC,"Intro","xx","The xx",2009-08-18,127920,1,false,,2011-07-14T18:16:05Z,"","XL",0.617,0.778,9,-8.871,0,0.027,0.459,0.925,0.128,0.152,100.363,4
spotify:track:0JD1AwjkPpsIbLqkaQSZqt,"Puzzled","behold & be held","Adam Horowitz",2021-12-24,220365,1,false,efeghali,2022-01-31T18:22:07Z,"","3561336 Records DK",0.532,0.325,6,-8.413,0,0.0562,0.781,0,0.102,0.641,143.055,3
spotify:track:0XR7a7diGzVRpnzUfIQfau,"Bravery","Bravery","Johan Lenox",2016-10-18,216624,2,false,efeghali,2016-10-25T00:04:36Z,"stutter house","Lowell Line Records",0.349,0.444,9,-10.361,0,0.0618,0.189,0.00000146,0.064,0.0963,98.301,3
spotify:track:4c7ra5L7SBRlxoVEweTdf8,"The Truth","So..Hows Your Girl","Handsome Boy Modeling School",1999-01-01,337200,0,false,,2011-07-14T14:27:06Z,"trip hop,jazz rap","Elektra Records",0.7,0.393,2,-10.88,1,0.0471,0.6,0.00000608,0.113,0.477,79.638,4
spotify:track:1iP5UMdOsGz6EdltGbbcb7,"The Fire","How I Got Over","The Roots;John Legend",2010-06-22,221066,54,false,efeghali,2016-10-25T00:09:36Z,"east coast hip hop,jazz rap,hip hop,soft pop,neo soul","Def Jam Recordings",0.67,0.956,1,-4.381,1,0.16,0.177,0.0000365,0.726,0.337,173.966,4
spotify:track:63iPJSYlsefY8AhR6yGNPJ,"The Government","The Government","The Philharmonik",2020-09-11,239533,0,true,efeghali,2020-09-16T22:53:16Z,"","The Philharmonik",0.701,0.769,6,-8.692,0,0.251,0.436,0,0.315,0.622,99.049,4
