Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5lZm04wYe0D01LkA6SNc4J,"Reverse","Pipe Dreams","Whirr",2012-03-13,198760,0,false,5forty,2013-06-26T00:15:04Z,"shoegaze,slowcore,dream pop","Tee Pee Records",0.188,0.22,7,-11.864,1,0.0301,0.217,0.85,0.105,0.0505,92.297,4
spotify:track:7k5xnDnNnIlKNcNUd8Mhvu,"Junebouvier","Pipe Dreams","Whirr",2012-03-13,225053,0,false,5forty,2013-06-26T00:15:04Z,"shoegaze,slowcore,dream pop","Tee Pee Records",0.142,0.914,6,-6.785,0,0.06,0.0000124,0.729,0.17,0.297,160.001,4
spotify:track:1YGDbH8z4d8vn3FXm9ADyw,"Bogus","Pipe Dreams","Whirr",2012-03-13,239973,0,false,5forty,2013-06-26T00:15:04Z,"shoegaze,slowcore,dream pop","Tee Pee Records",0.115,0.804,11,-7.718,0,0.0575,0.000524,0.95,0.138,0.0336,92.482,4
spotify:track:6k6Iy3HIarmdsPuAd3Z48g,"Flashback","Pipe Dreams","Whirr",2012-03-13,247760,0,false,5forty,2013-06-26T00:15:04Z,"shoegaze,slowcore,dream pop","Tee Pee Records",0.174,0.587,9,-7.653,1,0.038,0.0000118,0.922,0.151,0.232,116.039,4
spotify:track:0AT6wb7oZz3LghqxOEDzJs,"Formulas and Frequencies","Pipe Dreams","Whirr",2012-03-13,354786,0,false,5forty,2013-06-26T00:15:04Z,"shoegaze,slowcore,dream pop","Tee Pee Records",0.191,0.0981,11,-22.424,0,0.0465,0.853,0.0595,0.0842,0.0708,204.441,3
spotify:track:36y6Wzg9xKvByEsOEV3Kma,"Home Is Where My Head Is","Pipe Dreams","Whirr",2012-03-13,136506,0,false,5forty,2013-06-26T00:15:04Z,"shoegaze,slowcore,dream pop","Tee Pee Records",0.282,0.88,7,-5.658,1,0.0457,0.00000204,0.438,0.14,0.517,86.346,4
spotify:track:53BrDlGv7t4r7xgWTJUK1j,"Toss","Pipe Dreams","Whirr",2012-03-13,144333,0,false,5forty,2013-06-26T00:15:04Z,"shoegaze,slowcore,dream pop","Tee Pee Records",0.35,0.892,1,-7.289,1,0.0316,0.00000388,0.895,0.107,0.629,98.999,4
spotify:track:77B0uaQTgrrA2yM4xwQG1h,"Hide","Pipe Dreams","Whirr",2012-03-13,188800,0,false,5forty,2013-06-26T00:15:04Z,"shoegaze,slowcore,dream pop","Tee Pee Records",0.177,0.694,6,-7.266,0,0.0345,0.0000559,0.971,0.0563,0.391,61.625,4
spotify:track:7jil7uT4Xcxk21S1WL9WgA,"Wait","Pipe Dreams","Whirr",2012-03-13,239320,0,false,5forty,2013-06-26T00:15:04Z,"shoegaze,slowcore,dream pop","Tee Pee Records",0.176,0.39,7,-10.339,1,0.0395,0.0186,0.897,0.135,0.0347,118.3,4
spotify:track:55xyhqg7sIX9wX3VJa5UbM,"Reverie","Pipe Dreams","Whirr",2012-03-13,197040,0,false,5forty,2013-06-26T00:15:04Z,"shoegaze,slowcore,dream pop","Tee Pee Records",0.0928,0.362,11,-13.998,1,0.0407,0.353,0.733,0.0866,0.0331,88.399,4
