Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4UysQvyxRugoXBbmAXPB7x,"The Vowels Pt. 2","Alopecia","WHY?",2008-03-11,246080,0,false,,1970-01-01T00:00:00Z,"","Tomlab",0.46,0.793,8,-5.21,1,0.0381,0.517,0.00000838,0.197,0.135,126.85,4
spotify:track:6sbEnQYxFwJsK8gGQhyVzm,"Good Friday","Alopecia","WHY?",2008-03-11,231773,0,false,,1970-01-01T00:00:00Z,"","Tomlab",0.535,0.892,4,-5.438,0,0.054,0.395,0.00136,0.185,0.844,148.105,4
spotify:track:2SovvxJADQ0EVJwUDPj5B8,"These Few Presidents","Alopecia","WHY?",2008-03-11,186400,0,false,,1970-01-01T00:00:00Z,"","Tomlab",0.63,0.53,5,-8.143,0,0.0457,0.209,0.000151,0.108,0.433,130.005,4
spotify:track:6HaQaB9aWkU5UKPXHiDxIZ,"The Hollows","Alopecia","WHY?",2008-03-11,236573,0,false,,1970-01-01T00:00:00Z,"","Tomlab",0.546,0.719,2,-5.471,0,0.0291,0.128,0.0000307,0.104,0.326,124.79,4
spotify:track:6qU9WF2AAaLx0AfwSLlHcX,"Song of the Sad Assassin","Alopecia","WHY?",2008-03-11,254826,0,false,,1970-01-01T00:00:00Z,"","Tomlab",0.369,0.802,5,-5.158,1,0.0365,0.734,0.193,0.182,0.442,122.485,4
spotify:track:7o0pc5r0YJllhyAVGbSWwN,"Gnashville","Alopecia","WHY?",2008-03-11,230706,0,false,,1970-01-01T00:00:00Z,"","Tomlab",0.562,0.424,0,-11.76,1,0.0432,0.444,0.626,0.317,0.107,127.991,4
spotify:track:2Bn67CdGFzDP8UnLNDIayb,"Fatalist Palmistry","Alopecia","WHY?",2008-03-11,235386,0,false,,1970-01-01T00:00:00Z,"","Tomlab",0.402,0.906,2,-4.706,1,0.0612,0.0709,0.00000185,0.362,0.587,125.224,4
spotify:track:6e0iKUA8yqbK71NQxHz8CS,"The Fall Of Mr. Fifths","Alopecia","WHY?",2008-03-11,197933,0,false,,1970-01-01T00:00:00Z,"","Tomlab",0.468,0.859,4,-7.457,1,0.14,0.235,0.00000287,0.195,0.467,81.358,4
spotify:track:5T70j5IyEX2uJPF7ocyiBe,"Brook & Waxing","Alopecia","WHY?",2008-03-11,156600,0,false,,1970-01-01T00:00:00Z,"","Tomlab",0.524,0.684,2,-6.117,1,0.0523,0.339,0.0000264,0.296,0.213,125.976,4
spotify:track:3pDf91nXGLDLgIN774RqU0,"A Sky For Shoeing Horses Under","Alopecia","WHY?",2008-03-11,150826,0,false,,1970-01-01T00:00:00Z,"","Tomlab",0.43,0.861,0,-8.582,1,0.0488,0.0499,0.167,0.108,0.245,139.46,4
spotify:track:2yRmeSRUMxYs2zaGPeO0No,"Twenty-Eight","Alopecia","WHY?",2008-03-11,46280,0,false,,1970-01-01T00:00:00Z,"","Tomlab",0.486,0.828,5,-8.087,1,0.123,0.783,0,0.17,0.743,60.052,4
spotify:track:4jgwTCvXLMv6KLherf9Fky,"Simeon's Dilemma","Alopecia","WHY?",2008-03-11,214733,0,false,,1970-01-01T00:00:00Z,"","Tomlab",0.327,0.796,11,-7.011,1,0.0624,0.459,0.000162,0.283,0.333,76.129,4
spotify:track:5FzLY7KsnMqehiQaJiCQCw,"By Torpedo Or Crohn's","Alopecia","WHY?",2008-03-11,245560,0,false,,1970-01-01T00:00:00Z,"","Tomlab",0.653,0.683,5,-6.466,1,0.0381,0.327,0.000277,0.167,0.835,146.289,4
spotify:track:3tZDaGwcWsJREzWxUxdWf3,"Exegesis","Alopecia","WHY?",2008-03-11,96853,0,false,,1970-01-01T00:00:00Z,"","Tomlab",0.54,0.801,0,-9.08,0,0.0623,0.175,0.772,0.321,0.0377,157.401,3
