Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6PgLkq5VU65UbNYmHYudXa,"Teenage Fantasy","Teenage Fantasy","Mount Kismet;C.A.R.",2019-10-11,211771,0,false,5forty,2021-08-26T08:03:09Z,"indie dance","Disco Halal",0.669,0.667,8,-10.36,1,0.0567,0.456,0.808,0.164,0.461,97.001,3
spotify:track:30oxQP7jp2w3FMHdx85XEz,"Drab Measure","Crack Cloud","Crack Cloud",2018-06-01,280320,32,false,5forty,2021-08-26T08:03:28Z,"egg punk,post-punk","Meat Machine",0.735,0.925,9,-5.8,1,0.0928,0.128,0.832,0.11,0.906,169.974,4
spotify:track:5l3EQWJXvosWXXiSBsyUI9,"Silver Tongues","Silver Tongues","Crows",2019-03-22,300520,0,false,5forty,2021-08-26T08:03:47Z,"post-punk,noise rock","Balley Records",0.294,0.707,9,-5.372,1,0.0448,0.00039,0.638,0.351,0.234,124.304,4
spotify:track:05N1zz1HXSUdAjVoqQlCCU,"Abdel Kader","Abdel Kader","Cheb Mimoun;Dar Disku",2020-12-04,376000,24,false,5forty,2021-08-26T08:04:15Z,"moroccan chaabi,raï","Dar Disku Records (Under license from MLP © 2020)",0.599,0.772,2,-8.219,0,0.0442,0.0044,0.0067,0.0567,0.913,105.005,4
spotify:track:3JCHaFuPC69Rn2sVOvaz5n,"Your Love - Original Mix","Busy Tone EP","Debonair",2012-07-02,341770,10,false,5forty,2021-08-26T08:05:25Z,"nu disco,funky house","House of Disco Records",0.732,0.693,9,-7.314,0,0.0509,0.0209,0.0177,0.0504,0.533,119.974,4
spotify:track:4Vu385MNJiB2rndkzrLmJd,"Hasta La Vista","So When You Gonna…","Dream Wife",2020-07-03,222214,0,false,5forty,2021-08-26T08:06:14Z,"riot grrrl,queercore","Lucky Number",0.929,0.626,4,-5.996,1,0.0383,0.0483,0.000113,0.102,0.859,123.134,4
spotify:track:7jN6iYiYycnfVEHJvDBlh5,"Waves - Chilly Gonzales Piano Remake","Waves Rework","Erol Alkan;Boys Noize;Chilly Gonzales",2009-11-22,258545,38,false,5forty,2021-08-26T08:06:31Z,"electro house,neoclassical","Boysnoize Records",0.34,0.533,11,-12.554,0,0.034,0.939,0.852,0.156,0.121,128.918,4
spotify:track:6NXE9HXJV6SlgAIQhCAqyy,"Boss Sweet","Boss Sweet","Faux Real",2020-02-28,236687,31,false,5forty,2021-08-26T08:06:47Z,"","Faux Real",0.671,0.388,0,-10.398,1,0.0297,0.498,0.241,0.103,0.583,100.02,4
spotify:track:4mGgFYhPcF6VuMn4jaHCbx,"Car Park","On Hold","Fenne Lily",2018-04-06,173499,1,false,5forty,2021-08-26T08:07:24Z,"","Fenne Lily",0.63,0.331,11,-10.47,1,0.0326,0.677,0.00000211,0.108,0.418,139.918,4
spotify:track:15udHBVOwWq4qElILsnSNg,"Sad Cowboy","On All Fours","Goat Girl",2021-01-29,317146,34,false,5forty,2021-08-26T08:07:43Z,"post-punk","Rough Trade",0.617,0.774,9,-7.074,0,0.0287,0.35,0.182,0.597,0.39,128.952,4
spotify:track:6K8Qa4GoHOMxQTgfKZkEjg,"Band of Acid - Fall Forward Remix Ft Grainger","Band of Acid","Matrefakt;Fall Forward;Grainger",2021-05-21,307311,1,false,5forty,2021-08-26T08:08:08Z,"acid house","Abandon Silence",0.692,0.715,8,-7.891,1,0.056,0.00163,0.781,0.119,0.203,127.001,4
spotify:track:6lKlFidNSf7QsBZtBbqts7,"Cyanide And Happiness","Cyanide And Happiness","Ivan Smagghe;Danton Eeprom",2008-10-20,556190,10,false,5forty,2021-08-26T08:08:31Z,"space rock","FONDATION RECORDS",0.786,0.385,11,-9.196,1,0.0507,0.00439,0.582,0.109,0.654,126.011,4
spotify:track:0KixIFbJPLjVUgCiTgR649,"Dripping Sun","Masana Temples","Kikagaku Moyo",2018-10-05,470092,45,false,5forty,2021-08-26T08:08:51Z,"neo-psychedelic,psychedelic rock,space rock,krautrock","Guruguru Brain",0.536,0.441,5,-7.244,0,0.0356,0.181,0.564,0.113,0.335,105.556,4
spotify:track:4JJEfYFamGRfmz9nG6fx1w,"Ti-de","KOKOROKO","Kokoroko",2019-03-08,372386,52,false,5forty,2021-08-26T08:09:06Z,"","Brownswood Recordings",0.768,0.353,9,-12.029,0,0.0332,0.457,0.894,0.11,0.428,109.885,4
spotify:track:3p9ZOPFt0BNnVN7YGoV3KC,"Night Walking","Night Walking","Lazarus Kane",2020-05-12,267370,0,false,5forty,2021-08-26T08:09:24Z,"post-punk","Laz Vegas Recordings",0.695,0.806,11,-5.627,1,0.0355,0.0102,0.000518,0.0644,0.961,122.033,4
spotify:track:1w19EUnkka96jyi1UuIvxA,"Asphalt Kobold","Phantom Delia","Lena Willikens",2015-01-12,253280,0,false,5forty,2021-08-26T08:09:40Z,"","Cómeme",0.8,0.858,0,-13.2,1,0.0387,0.166,0.757,0.0804,0.814,114.01,4
spotify:track:1KdWO6Lv7z10VQ6Jff43hO,"Pista (Great Start)","Pista (Great Start) - Single","Los Bitchos",2019-08-12,205680,0,false,5forty,2021-08-26T08:10:00Z,"","Los Bitchos",0.705,0.888,7,-3.942,0,0.0301,0.421,0.022,0.796,0.937,91.028,4
spotify:track:3QzRsHj6ziJOfKuRnMzuCT,"This Is the Hit","This Is the Hit","Lynks;Charlie Steen",2021-04-09,204000,0,true,5forty,2021-08-26T08:10:16Z,"ballroom vogue","LynksCorp",0.793,0.586,2,-4.57,1,0.278,0.0183,0.0000889,0.0475,0.559,120.024,4
spotify:track:7y1QDdr1wWOJNVSZ2jV0vZ,"Monolith","Monolith","Mandrake Handshake",2021-04-23,431973,0,false,5forty,2021-08-26T08:10:32Z,"neo-psychedelic","Nice Swan Recordings",0.373,0.617,10,-8.202,1,0.0298,0.0294,0,0.113,0.521,77.009,4
spotify:track:0p1mXyTLG962tEKo6g5NBb,"Alien 3","Alien 3","Mandy, Indiana",2021-01-27,377360,0,false,5forty,2021-08-26T08:11:06Z,"indie electronic","Fire Talk",0.629,0.481,9,-11.835,1,0.0399,0.0122,0.905,0.134,0.0309,120.046,4
spotify:track:4N461AScY7dekUjtoEc6sc,"Uumellmahaye - Original Mix","Pink Industry EP","Manfredas",2015-03-23,380865,0,false,5forty,2021-08-26T08:11:38Z,"","Les Disques De La Mort",0.834,0.534,1,-11.611,1,0.0696,0.241,0.843,0.094,0.386,112.007,4
spotify:track:0ENVNAVahHrrPfroJ1XmXz,"Blindness","Blindness","Maripool",2021-02-09,212500,18,false,5forty,2021-08-26T08:12:02Z,"lo-fi indie","Strong Island Recordings",0.449,0.706,11,-8.398,0,0.0334,0.014,0.752,0.114,0.647,200.189,4
spotify:track:1Z34zLbTvP8NeVXLkKZ8xa,"666","United Ravers Against Fascism","Minimal Violence",2020-06-19,239019,0,true,5forty,2021-08-26T08:12:21Z,"ebm,acid techno,hard techno,gabber","Live From Earth",0.509,0.901,10,-4.308,0,0.0635,0.000158,0.807,0.432,0.268,180.049,4
spotify:track:1OapiMeuPp5RmorfzMIwDw,"Klub Psycho","Klub Psycho","Mondowski",2016-03-11,459160,0,false,5forty,2021-08-26T08:12:44Z,"indie dance,ebm","Relish",0.807,0.563,0,-10.454,1,0.0557,0.0285,0.891,0.103,0.16,118.012,4
spotify:track:3BDC7YYDL6BdfvXa1iqzu1,"Dévoué","Dévoué EP","Moscoman",2020-07-31,431533,0,false,5forty,2021-08-26T08:13:09Z,"indie dance","Disco Halal",0.878,0.739,10,-6.889,1,0.0419,0.0969,0.837,0.107,0.178,115.01,4
spotify:track:09Q8cl3TnL5oOXouDt6cLs,"Sweet","Every Bad (Expanded Edition)","Porridge Radio",2021-03-25,222840,0,false,5forty,2021-08-26T08:13:28Z,"lo-fi indie","Secretly Canadian",0.495,0.432,4,-9.359,0,0.0294,0.0588,0,0.211,0.334,93.926,4
spotify:track:1ZxkEYMc2koZHb62qmUBzW,"Exhaust / Surroundings","Toner","PVA",2020-11-20,340813,20,false,5forty,2021-08-26T08:13:44Z,"alternative dance","Big Dada",0.596,0.784,11,-6.456,0,0.0456,0.00125,0.188,0.12,0.13,120.09,4
spotify:track:78R5ajzF53G9YQSzBaYfcV,"Cream Militia","Cream Militia","Regressive Left",2021-07-06,214531,4,false,5forty,2021-08-26T08:14:09Z,"post-punk","Regressive Left",0.751,0.808,9,-7.552,1,0.0471,0.0754,0.00706,0.0983,0.858,112.028,4
