Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3xZyWniWiPE688scDzLlrZ,"EKG","Star Wars","Wilco",2015-07-17,75547,0,false,5forty,2015-08-14T10:02:19Z,"alt country,americana,indie rock","Anti/Epitaph",0.593,0.978,11,-5.151,1,0.0418,0.391,0.948,0.199,0.873,147.304,4
spotify:track:3UorFYJWKXVbkQhzZ4Rx7V,"More...","Star Wars","Wilco",2015-07-17,163951,0,false,5forty,2015-08-14T10:02:19Z,"alt country,americana,indie rock","Anti/Epitaph",0.3,0.782,2,-6.044,1,0.052,0.4,0.46,0.123,0.689,73.836,4
spotify:track:1L8PsRYBgVQxpRDpy9qJ6v,"Random Name Generator","Star Wars","Wilco",2015-07-17,229488,0,false,5forty,2015-08-14T10:02:19Z,"alt country,americana,indie rock","Anti/Epitaph",0.621,0.962,2,-6.469,1,0.0454,0.282,0.126,0.132,0.653,143.99,4
spotify:track:1VNZscaoBOlVb4vpxQx5NG,"The Joke Explained","Star Wars","Wilco",2015-07-17,153186,0,false,5forty,2015-08-14T10:02:19Z,"alt country,americana,indie rock","Anti/Epitaph",0.68,0.859,9,-6.523,1,0.0309,0.213,0.11,0.306,0.96,136.964,4
spotify:track:2tpQSdEnsGnZqkCDHnSyEw,"You Satellite","Star Wars","Wilco",2015-07-17,316880,0,false,5forty,2015-08-14T10:02:19Z,"alt country,americana,indie rock","Anti/Epitaph",0.306,0.779,5,-7.311,1,0.0314,0.186,0.769,0.137,0.437,114.735,4
spotify:track:2qmQ27dBgN4MYyZDrsoKK8,"Taste the Ceiling","Star Wars","Wilco",2015-07-17,195380,0,false,5forty,2015-08-14T10:02:19Z,"alt country,americana,indie rock","Anti/Epitaph",0.681,0.64,7,-7.376,1,0.0276,0.401,0.597,0.115,0.755,117.977,4
spotify:track:00vVMtQ5agn0y8JuU7OYoJ,"Pickled Ginger","Star Wars","Wilco",2015-07-17,149806,0,false,5forty,2015-08-14T10:02:19Z,"alt country,americana,indie rock","Anti/Epitaph",0.53,0.82,10,-10.298,1,0.0632,0.656,0.327,0.149,0.729,163.055,4
spotify:track:0QAThMoWVJpY3evVBd7rq7,"Where Do I Begin","Star Wars","Wilco",2015-07-17,174798,0,false,5forty,2015-08-14T10:02:19Z,"alt country,americana,indie rock","Anti/Epitaph",0.429,0.407,7,-11.991,1,0.0334,0.903,0.584,0.163,0.614,114.043,4
spotify:track:4zGUV7qsrSbI2csL9Po0ne,"Cold Slope","Star Wars","Wilco",2015-07-17,191388,0,false,5forty,2015-08-14T10:02:19Z,"alt country,americana,indie rock","Anti/Epitaph",0.738,0.371,0,-8.358,1,0.0424,0.175,0.245,0.358,0.718,140.203,4
spotify:track:2j97jWR9lgBq2LpmtWsZs9,"King Of You","Star Wars","Wilco",2015-07-17,160972,0,false,5forty,2015-08-14T10:02:19Z,"alt country,americana,indie rock","Anti/Epitaph",0.601,0.523,7,-6.641,1,0.0379,0.492,0.214,0.0769,0.73,143.142,4
spotify:track:5kvxVswizuJEGWfDyq4m6A,"Magnetized","Star Wars","Wilco",2015-07-17,220026,0,false,5forty,2015-08-14T10:02:19Z,"alt country,americana,indie rock","Anti/Epitaph",0.629,0.315,3,-11.929,1,0.0319,0.316,0.56,0.163,0.154,77.982,4
