Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6UvfReXhIyTime6acIlHzc,"NTH","Shapeshifting","Young Galaxy",2011-02-07,32373,0,false,,2011-10-07T19:26:52Z,"dream pop,chillwave","Smalltown 12",0.472,0.318,8,-14.991,1,0.179,0.764,0.468,0.256,0.904,88.401,4
spotify:track:65AVttOPJzqGWLAaE3jpGs,"THE ANGELS ARE SURELY WEEPING (FEATURING HANNA)","Shapeshifting","Young Galaxy",2011-02-07,219653,0,false,,2011-10-07T19:26:52Z,"dream pop,chillwave","Smalltown 12",0.693,0.441,0,-10.604,0,0.0346,0.462,0.137,0.146,0.561,87.992,4
spotify:track:0jqM3evfM7ueY8X00Qi9hZ,"BLOWN MINDED","Shapeshifting","Young Galaxy",2011-02-07,203800,0,false,,2011-10-07T19:26:52Z,"dream pop,chillwave","Smalltown 12",0.687,0.726,7,-7.585,0,0.0301,0.00996,0.531,0.363,0.964,122.017,4
spotify:track:7Kqxiy7IJBbLX4bTl2muTx,"WE HAVE EVERYTHING","Shapeshifting","Young Galaxy",2011-02-07,276733,0,false,,2011-10-07T19:26:52Z,"dream pop,chillwave","Smalltown 12",0.592,0.869,5,-8.031,0,0.0363,0.000164,0.504,0.316,0.187,125.017,4
spotify:track:0k1o64rvuUDvOvVmNhdCcb,"FOR DEAR LIFE","Shapeshifting","Young Galaxy",2011-02-07,305413,0,false,,2011-10-07T19:26:52Z,"dream pop,chillwave","Smalltown 12",0.733,0.7,11,-7.192,1,0.0297,0.00656,0.0774,0.0884,0.415,122.024,4
spotify:track:6V0PviadnezDpfKfzi7XeD,"PERIPHERAL VISIONARIES","Shapeshifting","Young Galaxy",2011-02-07,216760,0,false,,2011-10-07T19:26:52Z,"dream pop,chillwave","Smalltown 12",0.741,0.627,4,-8.804,0,0.0351,0.117,0.0736,0.13,0.76,101.656,4
spotify:track:2lhZ8Pv5ZVFz4k2pcOnzCi,"HIGH AND GOODBYE","Shapeshifting","Young Galaxy",2011-02-07,189706,0,false,,2011-10-07T19:26:52Z,"dream pop,chillwave","Smalltown 12",0.527,0.52,4,-10.561,1,0.0305,0.43,0.00578,0.0971,0.143,120.013,4
spotify:track:09sWl4xvgOI4cJQTU2OIeK,"PHANTOMS","Shapeshifting","Young Galaxy",2011-02-07,258959,0,false,,2011-10-07T19:26:52Z,"dream pop,chillwave","Smalltown 12",0.721,0.596,0,-8.734,1,0.0266,0.178,0.129,0.28,0.903,114.004,4
spotify:track:0RJpCkAg481Cbn4TWSzHG5,"COVER YOUR TRACKS","Shapeshifting","Young Galaxy",2011-02-07,227560,0,false,,2011-10-07T19:26:52Z,"dream pop,chillwave","Smalltown 12",0.641,0.612,8,-8.268,1,0.0403,0.0533,0.822,0.0883,0.471,93.983,4
spotify:track:3pg1g1xDpRKmd36RRCQkyo,"B.S.E.","Shapeshifting","Young Galaxy",2011-02-07,298146,0,false,,2011-10-07T19:26:52Z,"dream pop,chillwave","Smalltown 12",0.554,0.639,0,-7.776,1,0.0367,0.106,0.118,0.0895,0.375,101.936,4
spotify:track:5JLd1GIEYP5OILAnva1FCo,"SHAPESHIFTING","Shapeshifting","Young Galaxy",2011-02-07,283786,0,false,,2011-10-07T19:26:52Z,"dream pop,chillwave","Smalltown 12",0.707,0.601,3,-9.939,1,0.033,0.646,0.0697,0.305,0.631,121.983,4
