Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0lR194ZEjnFPf7hL37MaE0,"Through Mind and Back","Wondrous Bughouse","Youth Lagoon",2013-03-05,151573,0,false,5forty,2013-06-13T03:08:20Z,"dream pop,chillwave","Fat Possum Records",0.275,0.195,8,-21.69,1,0.0625,0.491,0.883,0.109,0.0864,104.443,4
spotify:track:0bxcQIRWAfqcpCts8PwfxL,"Mute","Wondrous Bughouse","Youth Lagoon",2013-03-05,358560,0,false,5forty,2013-06-13T03:08:20Z,"dream pop,chillwave","Fat Possum Records",0.152,0.767,8,-6.482,1,0.0396,0.0000934,0.813,0.634,0.437,142.094,4
spotify:track:1XW8YDO2zZIIJJNdUgfyCw,"Attic Doctor","Wondrous Bughouse","Youth Lagoon",2013-03-05,232266,0,false,5forty,2013-06-13T03:08:20Z,"dream pop,chillwave","Fat Possum Records",0.234,0.781,0,-6.809,1,0.0283,0.0024,0.527,0.471,0.519,170.859,3
spotify:track:3BT9IahjHmJJGPrlKtu0kg,"The Bath","Wondrous Bughouse","Youth Lagoon",2013-03-05,287906,0,false,5forty,2013-06-13T03:08:20Z,"dream pop,chillwave","Fat Possum Records",0.256,0.57,1,-11.964,1,0.0433,0.816,0.932,0.127,0.149,140.71,4
spotify:track:4Z5rnGFZ1IuCThz1zq6oQZ,"Pelican Man","Wondrous Bughouse","Youth Lagoon",2013-03-05,307906,0,false,5forty,2013-06-13T03:08:20Z,"dream pop,chillwave","Fat Possum Records",0.1,0.645,3,-7.606,1,0.0369,0.00909,0.857,0.424,0.114,77.441,4
spotify:track:4JqrGcwR7LdSG8jy1yqQcH,"Dropla","Wondrous Bughouse","Youth Lagoon",2013-03-05,356813,0,false,5forty,2013-06-13T03:08:20Z,"dream pop,chillwave","Fat Possum Records",0.475,0.784,0,-8.003,0,0.0265,0.0345,0.684,0.242,0.369,94.005,4
spotify:track:5ZibzpZviUewCFDoKLPgnH,"Sleep Paralysis","Wondrous Bughouse","Youth Lagoon",2013-03-05,334666,0,false,5forty,2013-06-13T03:08:20Z,"dream pop,chillwave","Fat Possum Records",0.255,0.413,3,-10.981,1,0.0331,0.444,0.774,0.131,0.108,108.471,3
spotify:track:0p2WKjJu5gEaetEN8uBKZv,"Third Dystopia","Wondrous Bughouse","Youth Lagoon",2013-03-05,301466,0,false,5forty,2013-06-13T03:08:20Z,"dream pop,chillwave","Fat Possum Records",0.399,0.863,11,-8.265,1,0.066,0.0327,0.402,0.707,0.493,119.681,4
spotify:track:1Sfpkr271vQyrBEDDV50KU,"Raspberry Cane","Wondrous Bughouse","Youth Lagoon",2013-03-05,400973,0,false,5forty,2013-06-13T03:08:20Z,"dream pop,chillwave","Fat Possum Records",0.206,0.668,0,-7.646,1,0.0345,0.00743,0.225,0.136,0.339,153.87,4
spotify:track:0r6imKdC1muLCzej4TaFx0,"Daisyphobia","Wondrous Bughouse","Youth Lagoon",2013-03-05,319813,0,false,5forty,2013-06-13T03:08:20Z,"dream pop,chillwave","Fat Possum Records",0.384,0.711,4,-8.691,0,0.0365,0.285,0.869,0.111,0.181,129.11,3
