Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1Bhr9LYFgWQmXO1EYwndvI,"Blue Schwinn","Eighty One","Yppah",2012-04-02,230769,24,false,5forty,2012-10-17T03:55:50Z,"trip hop,downtempo,idm","Ninja Tune",0.469,0.968,6,-6.852,0,0.06,0.000433,0.864,0.307,0.356,104.018,4
spotify:track:1o8lhBn4moGq8HkYYGG4FA,"D. Song","Eighty One","Yppah;Anomie Belle",2012-04-02,229798,34,false,5forty,2012-10-17T03:55:50Z,"trip hop,downtempo,idm","Ninja Tune",0.504,0.896,1,-6.14,0,0.0378,0.0251,0.656,0.105,0.265,92.994,4
spotify:track:3yHXhzK24908z2WMW0rivQ,"R. Mullen","Eighty One","Yppah",2012-04-02,242307,42,false,5forty,2012-10-17T03:55:50Z,"trip hop,downtempo,idm","Ninja Tune",0.552,0.914,11,-6.591,1,0.0279,0.000616,0.883,0.0968,0.582,104.003,4
spotify:track:56fonqFGvKsBMLc3ngRuH8,"Film Burn","Eighty One","Yppah;Anomie Belle",2012-04-02,279080,40,false,5forty,2012-10-17T03:55:50Z,"trip hop,downtempo,idm","Ninja Tune",0.578,0.678,11,-6.522,0,0.0323,0.0171,0.28,0.183,0.459,153.974,4
spotify:track:4e1ZfKYWnKs1e8a04OJ9zM,"Never Mess With Sunday","Eighty One","Yppah",2012-04-02,270011,28,false,5forty,2012-10-17T03:55:50Z,"trip hop,downtempo,idm","Ninja Tune",0.486,0.694,5,-7.165,1,0.0259,0.00099,0.669,0.233,0.239,92.978,4
spotify:track:1ntZHmwz06afuMyfnjpSV7,"Happy to See You","Eighty One","Yppah",2012-04-02,284392,19,false,5forty,2012-10-17T03:55:50Z,"trip hop,downtempo,idm","Ninja Tune",0.221,0.692,0,-6.678,1,0.0359,0.0000957,0.848,0.127,0.166,128.777,4
spotify:track:6Tx65d8jjLtUoe0BzA2sIZ,"Soon Enough","Eighty One","Yppah;Anomie Belle",2012-04-02,255000,19,false,5forty,2012-10-17T03:55:50Z,"trip hop,downtempo,idm","Ninja Tune",0.516,0.829,1,-7.745,0,0.0348,0.0117,0.766,0.144,0.646,160.01,5
spotify:track:4ia8kek3rF0ZznYWjgli9J,"Paper Knife","Eighty One","Yppah",2012-04-02,267000,16,false,5forty,2012-10-17T03:55:50Z,"trip hop,downtempo,idm","Ninja Tune",0.491,0.84,5,-8.026,0,0.0305,0.0000776,0.882,0.199,0.605,143.983,4
spotify:track:4ni55pKIY7aoRKOMGHxxiP,"Golden Braid","Eighty One","Yppah",2012-04-02,291176,17,false,5forty,2012-10-17T03:55:50Z,"trip hop,downtempo,idm","Ninja Tune",0.41,0.747,2,-6.873,1,0.0357,0.000113,0.898,0.0998,0.116,136.159,4
spotify:track:25jyriEX0COgqFxTDErAqu,"Three Portraits","Eighty One","Yppah;Anomie Belle",2012-04-02,270967,31,false,5forty,2012-10-17T03:55:50Z,"trip hop,downtempo,idm","Ninja Tune",0.482,0.855,2,-4.797,1,0.0275,0.00236,0.517,0.223,0.245,92.97,4
spotify:track:3tLAA1LA06ecIaRSRbMFbi,"Some Have Said","Eighty One","Yppah",2012-04-02,255414,32,false,5forty,2012-10-17T03:55:50Z,"trip hop,downtempo,idm","Ninja Tune",0.549,0.683,6,-5.835,0,0.0236,0.00881,0.872,0.113,0.34,99.991,4
spotify:track:2zOE0EvZdRIZJ6UkYBbvAm,"Son Saves The Rest","They Know What Ghost Know","Yppah",2009-05-18,240506,8,false,,2012-10-22T22:25:59Z,"trip hop,downtempo,idm","Ninja Tune",0.486,0.899,0,-5.655,1,0.0341,0.00000178,0.821,0.893,0.2,120.008,4
spotify:track:1vMrhsVcrByysJf0ru2SqL,"Gumball Machine Weekend","They Know What Ghost Know","Yppah",2009-05-18,239533,37,false,,2012-10-22T22:25:59Z,"trip hop,downtempo,idm","Ninja Tune",0.577,0.833,8,-7.157,1,0.0274,0.0000477,0.263,0.154,0.65,117.968,4
spotify:track:1aYRZVSXizOiUAFon7eID2,"Playing With Fireworks","They Know What Ghost Know","Yppah",2009-05-18,253293,13,false,,2012-10-22T22:25:59Z,"trip hop,downtempo,idm","Ninja Tune",0.396,0.854,4,-8.619,1,0.0491,0.000132,0.959,0.245,0.22,140.054,4
spotify:track:1xc8zpNr8bA8gVGGPxdJK9,"Shutter Speed","They Know What Ghost Know","Yppah",2009-05-18,233506,19,false,,2012-10-22T22:25:59Z,"trip hop,downtempo,idm","Ninja Tune",0.6,0.588,9,-9.21,0,0.0288,0.00135,0.833,0.101,0.288,130.999,4
spotify:track:1CypoD4TJ9sS6USBiYdtzT,"The Moon Scene 7","They Know What Ghost Know","Yppah",2009-05-18,279626,7,false,,2012-10-22T22:25:59Z,"trip hop,downtempo,idm","Ninja Tune",0.495,0.584,4,-7.18,0,0.0321,0.00000672,0.919,0.0537,0.359,119.975,4
spotify:track:1v8cT7EGUBCxuLEm3FQJOH,"They Know What Ghost Know","They Know What Ghost Know","Yppah",2009-05-18,289440,7,false,,2012-10-22T22:25:59Z,"trip hop,downtempo,idm","Ninja Tune",0.279,0.674,11,-7.192,0,0.0362,0.000734,0.856,0.0784,0.286,115.012,4
spotify:track:5yikQLZOkaNPda4yDuCwWX,"City Glow","They Know What Ghost Know","Yppah",2009-05-18,246600,6,false,,2012-10-22T22:25:59Z,"trip hop,downtempo,idm","Ninja Tune",0.38,0.828,1,-8.021,1,0.0446,0.00665,0.0423,0.239,0.349,150.281,4
spotify:track:2ao2s8OOBSEaAVPJS7tNzB,"Sun Flower Sun Kissed","They Know What Ghost Know","Yppah",2009-05-18,231666,6,false,,2012-10-22T22:25:59Z,"trip hop,downtempo,idm","Ninja Tune",0.41,0.888,2,-4.869,1,0.0441,0.00000663,0.0208,0.196,0.389,126.055,4
spotify:track:2Hjo7tXt9DmEwgVEQ7lwa7,"The Tingling","They Know What Ghost Know","Yppah",2009-05-18,223693,18,false,,2012-10-22T22:25:59Z,"trip hop,downtempo,idm","Ninja Tune",0.526,0.796,2,-6.924,1,0.0276,0.000378,0.748,0.26,0.32,159.921,4
spotify:track:2InHy1hD2hFNZOyV6lLPL6,"Bobbie Joe Wilson","They Know What Ghost Know","Yppah",2009-05-18,212240,7,false,,2012-10-22T22:25:59Z,"trip hop,downtempo,idm","Ninja Tune",0.321,0.94,0,-4.581,1,0.0431,0.0000203,0.811,0.394,0.684,201.447,4
spotify:track:5h7sleGDH6MEsGieCcd78t,"A Parking Lot Carnival","They Know What Ghost Know","Yppah",2009-05-18,250293,9,false,,2012-10-22T22:25:59Z,"trip hop,downtempo,idm","Ninja Tune",0.332,0.75,2,-7.832,1,0.0407,0.000377,0.732,0.322,0.223,174.953,4
spotify:track:2Xa34Vob4sguzkKcXOX3zg,"Southern Sky Tells All","They Know What Ghost Know","Yppah",2009-05-18,260506,5,false,,2012-10-22T22:25:59Z,"trip hop,downtempo,idm","Ninja Tune",0.423,0.543,7,-8.639,1,0.0354,0.0000362,0,0.081,0.203,114.984,3
spotify:track:48rrcHKenZe6GBzpQ1JGRD,"Ending With You","You Are Beautiful At All Times","Yppah",2006-11-20,207586,0,false,,2012-10-22T22:26:04Z,"trip hop,downtempo,idm","Ninja Tune",0.657,0.861,7,-7.998,1,0.0498,0.103,0.884,0.111,0.631,79.996,4
spotify:track:4H3SSfD62xSHFLd3fVgVux,"I'll Hit The Breaks","You Are Beautiful At All Times","Yppah",2006-11-20,172840,0,false,,2012-10-22T22:26:04Z,"trip hop,downtempo,idm","Ninja Tune",0.528,0.862,9,-7.058,0,0.0278,0.000106,0.587,0.113,0.321,92.114,4
spotify:track:1w8dA4XFCRe3i4HBzzea2L,"Again With The Subtitles","You Are Beautiful At All Times","Yppah",2006-11-20,167026,0,false,,2012-10-22T22:26:04Z,"trip hop,downtempo,idm","Ninja Tune",0.42,0.78,11,-5.599,0,0.0589,0.000711,0.957,0.112,0.337,119.918,4
spotify:track:22md8CPq71v2YS1TcXwlQA,"The Subtitles That Count","You Are Beautiful At All Times","Yppah",2006-11-20,155706,0,false,,2012-10-22T22:26:04Z,"trip hop,downtempo,idm","Ninja Tune",0.516,0.726,2,-5.705,1,0.0286,0.0887,0.815,0.327,0.616,172.672,3
spotify:track:2JuDIVmvETjJRPXvZJduEk,"We Aim","You Are Beautiful At All Times","Yppah",2006-11-20,228906,0,false,,2012-10-22T22:26:04Z,"trip hop,downtempo,idm","Ninja Tune",0.366,0.547,7,-8.822,1,0.0341,0.519,0.929,0.109,0.2,89.619,4
spotify:track:7CE3TuugB8p6h3STjLm4UV,"What's The Matter?","You Are Beautiful At All Times","Yppah",2006-11-20,206013,0,false,,2012-10-22T22:26:04Z,"trip hop,downtempo,idm","Ninja Tune",0.559,0.79,5,-7.091,1,0.0273,0.0222,0.868,0.138,0.357,128.349,4
spotify:track:5aYfWuj6z1xZwg6d1Tv2ok,"In Two, The Weakly","You Are Beautiful At All Times","Yppah",2006-11-20,143320,0,false,,2012-10-22T22:26:04Z,"trip hop,downtempo,idm","Ninja Tune",0.266,0.593,2,-7.187,1,0.0572,0.2,0.835,0.104,0.223,146.022,4
spotify:track:2VhSpZbWxApm0pvSpO8Pj4,"Almost In That Category","You Are Beautiful At All Times","Yppah",2006-11-20,227106,0,false,,2012-10-22T22:26:04Z,"trip hop,downtempo,idm","Ninja Tune",0.484,0.624,10,-5.842,1,0.0377,0.00256,0.825,0.11,0.271,85.598,4
spotify:track:1qk1dYY2qVNSiBNifE4olb,"Good Like That","You Are Beautiful At All Times","Yppah",2006-11-20,142146,0,false,,2012-10-22T22:26:04Z,"trip hop,downtempo,idm","Ninja Tune",0.61,0.761,10,-7.545,1,0.104,0.476,0.699,0.109,0.34,155.949,4
spotify:track:7a5eoKhN9UcJgjJmZ1ymFA,"Cannot See Straight","You Are Beautiful At All Times","Yppah",2006-11-20,209920,0,false,,2012-10-22T22:26:04Z,"trip hop,downtempo,idm","Ninja Tune",0.559,0.629,11,-9.156,0,0.0328,0.781,0.957,0.106,0.286,136.428,4
spotify:track:3kLVoeW24kwpJHbpHKz729,"It's Not The Same","You Are Beautiful At All Times","Yppah",2006-11-20,189786,0,false,,2012-10-22T22:26:04Z,"trip hop,downtempo,idm","Ninja Tune",0.492,0.893,1,-5.774,0,0.037,0.00000728,0.905,0.0882,0.182,129.057,4
spotify:track:095icqA9Eej9g8QBIXsjA3,"Longtime","You Are Beautiful At All Times","Yppah",2006-11-20,186426,0,false,,2012-10-22T22:26:04Z,"trip hop,downtempo,idm","Ninja Tune",0.355,0.734,8,-7.431,1,0.0612,0.000482,0.852,0.0908,0.682,138.02,4
