Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4BIeUmSnhzsbc9Gx9siazj,"School","Zentropy","Frankie Cosmos",2014-03-04,112446,0,false,5forty,2014-04-01T19:54:47Z,"bedroom pop","DOUBLE DOUBLE WHAMMY",0.361,0.638,4,-7.772,1,0.0393,0.394,0.0135,0.218,0.309,123.434,4
spotify:track:4hhMtUS1ehDt1ut4REzzZG,"Fireman","Zentropy","Frankie Cosmos",2014-03-04,66161,0,false,5forty,2014-04-01T19:54:47Z,"bedroom pop","DOUBLE DOUBLE WHAMMY",0.499,0.328,0,-8.236,1,0.0301,0.654,0.00483,0.135,0.346,106.319,4
spotify:track:36HIIutWvbrV0ZVwnBV7OH,"Birthday Song","Zentropy","Frankie Cosmos",2014-03-04,68877,0,false,5forty,2014-04-01T19:54:47Z,"bedroom pop","DOUBLE DOUBLE WHAMMY",0.57,0.432,1,-9.98,1,0.074,0.789,0.0156,0.303,0.822,123.374,3
spotify:track:6Stkjw1IbFGvE5AXq20zy7,"Owen","Zentropy","Frankie Cosmos",2014-03-04,123167,0,false,5forty,2014-04-01T19:54:47Z,"bedroom pop","DOUBLE DOUBLE WHAMMY",0.586,0.378,0,-7.888,1,0.0277,0.139,0.000355,0.155,0.37,136.17,4
spotify:track:3EBwL62rmZmB9suDDzGpIu,"Buses Splash With Rain","Zentropy","Frankie Cosmos",2014-03-04,129682,0,false,5forty,2014-04-01T19:54:47Z,"bedroom pop","DOUBLE DOUBLE WHAMMY",0.443,0.592,4,-9.508,1,0.0574,0.7,0.0954,0.114,0.533,139.248,4
spotify:track:1Dnjat3KWkFVh6rOGiC6R6,"Leonie","Zentropy","Frankie Cosmos",2014-03-04,147954,0,false,5forty,2014-04-01T19:54:47Z,"bedroom pop","DOUBLE DOUBLE WHAMMY",0.471,0.47,11,-7.841,1,0.0332,0.378,0.000244,0.105,0.363,124.35,4
spotify:track:25NTZlMCPe2MePwyCbufT2,"I Do Too","Zentropy","Frankie Cosmos",2014-03-04,77313,0,false,5forty,2014-04-01T19:54:47Z,"bedroom pop","DOUBLE DOUBLE WHAMMY",0.553,0.501,9,-7.674,1,0.0376,0.643,0.000226,0.186,0.726,121.329,4
spotify:track:7cPiPGVC6hO3n9EdcYuEHo,"Dancing in the Public Eye","Zentropy","Frankie Cosmos",2014-03-04,106358,0,false,5forty,2014-04-01T19:54:47Z,"bedroom pop","DOUBLE DOUBLE WHAMMY",0.357,0.43,7,-9.857,1,0.0319,0.627,0.345,0.194,0.541,121.022,4
spotify:track:3y87WuNp4qU0nexUvCvXk9,"My I Love You","Zentropy","Frankie Cosmos",2014-03-04,92879,0,false,5forty,2014-04-01T19:54:47Z,"bedroom pop","DOUBLE DOUBLE WHAMMY",0.464,0.324,11,-10.707,1,0.0332,0.884,0.00239,0.109,0.258,120.135,4
spotify:track:5oelKR3xDblspiqP9rrkPM,"Sad 2","Zentropy","Frankie Cosmos",2014-03-04,122139,0,false,5forty,2014-04-01T19:54:47Z,"bedroom pop","DOUBLE DOUBLE WHAMMY",0.401,0.458,3,-9.761,1,0.0306,0.639,0.0008,0.134,0.282,121.618,1
