Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:369WZujqxhD1ocqXFNOqsX,"Key To My Heart","Language","Zulu Winter",2012-05-14,246226,0,false,5forty,2012-10-01T03:03:30Z,"","Play It Again Sam",0.473,0.859,4,-7.558,1,0.0431,0.00000997,0.157,0.143,0.5,113.008,4
spotify:track:4w4w3GL15LlZH3yfzJYHbu,"We Should Be Swimming","Language","Zulu Winter",2012-05-14,246120,0,false,5forty,2012-10-01T03:03:30Z,"","Play It Again Sam",0.512,0.713,8,-7.761,0,0.0469,0.0285,0.0165,0.325,0.457,137.011,4
spotify:track:6rpn3KzzDLCyDaFGSqRmW5,"Bitter Moon","Language","Zulu Winter",2012-05-14,218493,0,false,5forty,2012-10-01T03:03:30Z,"","Play It Again Sam",0.394,0.726,8,-7.6,1,0.0425,0.0149,0.0667,0.188,0.0853,130.007,4
spotify:track:47docaFYhMFcKTMoawIFIQ,"Small Pieces","Language","Zulu Winter",2012-05-14,194040,0,false,5forty,2012-10-01T03:03:30Z,"","Play It Again Sam",0.478,0.873,2,-6.152,0,0.045,0.0165,0.167,0.145,0.208,135.861,4
spotify:track:0OFToS08vK6VIp0xS9qTZp,"Silver Tongue","Language","Zulu Winter",2012-05-14,199106,0,false,5forty,2012-10-01T03:03:30Z,"","Play It Again Sam",0.494,0.826,10,-5.778,0,0.0533,0.000107,0.000677,0.128,0.45,139.011,4
spotify:track:7HJP6ZYG4zeXO6em1Pv4kJ,"You Deserve Better","Language","Zulu Winter",2012-05-14,299440,0,false,5forty,2012-10-01T03:03:30Z,"","Play It Again Sam",0.522,0.632,7,-7.27,0,0.0315,0.000234,0.00565,0.0772,0.218,141.98,4
spotify:track:04EKzHHHWy3W34uYTZZ5Dn,"Let's Move Back To Front","Language","Zulu Winter",2012-05-14,291133,0,false,5forty,2012-10-01T03:03:30Z,"","Play It Again Sam",0.502,0.701,8,-7.711,1,0.0379,0.00524,0.563,0.1,0.0694,125.042,4
spotify:track:03kklgVvw1Tw6qrAV8VQLe,"Moment's Drift","Language","Zulu Winter",2012-05-14,217746,0,false,5forty,2012-10-01T03:03:30Z,"","Play It Again Sam",0.291,0.673,11,-7.373,1,0.0382,0.0045,0.0000127,0.119,0.195,140.04,4
spotify:track:2QsVvtgj4mO97bNRdZcg65,"Words That I Wield","Language","Zulu Winter",2012-05-14,259040,0,false,5forty,2012-10-01T03:03:30Z,"","Play It Again Sam",0.499,0.465,7,-8.251,0,0.0294,0.0348,0.00412,0.103,0.272,127.204,4
spotify:track:5ZGlogwKKGoS2mySUsSEK5,"Never Leave","Language","Zulu Winter",2012-05-14,323240,0,false,5forty,2012-10-01T03:03:30Z,"","Play It Again Sam",0.389,0.69,2,-8.837,1,0.0564,0.00523,0.716,0.127,0.0538,130.025,4
spotify:track:5WJSOGi682kzXPMevfwIc4,"People That You Must Remember","Language","Zulu Winter",2012-05-14,286653,0,false,5forty,2012-10-01T03:03:30Z,"","Play It Again Sam",0.32,0.601,2,-10.602,1,0.036,0.312,0.86,0.0941,0.132,139.357,3
