Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:21WuzqHwvJC4cHNzHvzYbL,"Last Word","Icky Mettle","Archers Of Loaf",1993,216200,0,false,,2010-12-03T13:51:52Z,"noise rock,indie rock","Alias",0.247,0.92,2,-8.087,1,0.0461,0.00424,0.858,0.134,0.242,116.455,4
spotify:track:6f5DeM6gClL58lRDe426s9,"Wrong","Icky Mettle","Archers Of Loaf",1993,221133,0,false,,2010-12-03T13:51:52Z,"noise rock,indie rock","Alias",0.374,0.914,4,-9.101,1,0.0476,0.00482,0.641,0.321,0.752,130.264,4
spotify:track:3xVtqGvROJMQPAOznrZx3n,"You And Me","Icky Mettle","Archers Of Loaf",1993,190560,0,false,,2010-12-03T13:51:52Z,"noise rock,indie rock","Alias",0.222,0.607,4,-11.557,1,0.0492,0.191,0.832,0.11,0.207,148.207,4
spotify:track:1t9tvvdki0Azli3MObZ1uP,"Might","Icky Mettle","Archers Of Loaf",1993,124706,0,false,,2010-12-03T13:51:52Z,"noise rock,indie rock","Alias",0.445,0.953,4,-8.964,1,0.0493,0.00699,0.851,0.239,0.82,140.694,4
spotify:track:2wRcjyH6r9ib0Yi1yR7K53,"Hate Paste","Icky Mettle","Archers Of Loaf",1993,166933,0,false,,2010-12-03T13:51:52Z,"noise rock,indie rock","Alias",0.196,0.739,2,-9.004,1,0.0328,0.208,0.222,0.0797,0.814,180.22,3
spotify:track:176Q6QWWtHkMWWTjego7Vz,"Fat","Icky Mettle","Archers Of Loaf",1993,78266,0,false,,2010-12-03T13:51:52Z,"noise rock,indie rock","Alias",0.151,0.752,7,-7.152,1,0.066,0.218,0.59,0.126,0.393,172.809,4
spotify:track:0CrgmoBKmjvbDYIAdyUqWs,"Plumb Line","Icky Mettle","Archers Of Loaf",1993,124426,0,false,,2010-12-03T13:51:52Z,"noise rock,indie rock","Alias",0.445,0.947,7,-9.051,1,0.0378,0.0118,0.596,0.156,0.743,135.73,4
spotify:track:1wGzlmv6tyEg394zsUhOyw,"Learo, You're A Hole","Icky Mettle","Archers Of Loaf",1993,230773,0,false,,2010-12-03T13:51:52Z,"noise rock,indie rock","Alias",0.269,0.89,9,-9.861,0,0.0474,0.000394,0.688,0.425,0.654,127.188,4
spotify:track:2XomM5ZXzceWaWTf08sDz6,"Sick File","Icky Mettle","Archers Of Loaf",1993,103093,0,false,,2010-12-03T13:51:52Z,"noise rock,indie rock","Alias",0.166,0.99,11,-5.86,0,0.0703,0.0169,0.972,0.525,0.0435,128.546,4
spotify:track:7i1f7w9bmBuDar6Z3Dfx9J,"Toast","Icky Mettle","Archers Of Loaf",1993,278173,0,false,,2010-12-03T13:51:52Z,"noise rock,indie rock","Alias",0.414,0.676,9,-9.281,1,0.0677,0.672,0.876,0.111,0.338,125.22,4
spotify:track:5GU8a0oYlT5OOysCOTmx5r,"Backwash","Icky Mettle","Archers Of Loaf",1993,206733,0,false,,2010-12-03T13:51:52Z,"noise rock,indie rock","Alias",0.337,0.975,11,-7.951,0,0.056,0.00692,0.759,0.23,0.76,137.985,4
spotify:track:25GFoNVxD0z1vVDr3PSvhQ,"Slow Worm","Icky Mettle","Archers Of Loaf",1993,209626,0,false,,2010-12-03T13:51:52Z,"noise rock,indie rock","Alias",0.261,0.835,2,-8.83,1,0.0394,0.175,0.802,0.103,0.42,119.905,4
spotify:track:25RQhWDaCg1Lk9oNIvl4mT,"Step Into The Light","Vee Vee","Archers Of Loaf",1995,262093,0,false,,2010-12-03T13:51:52Z,"noise rock,indie rock","Alias",0.511,0.653,0,-10.013,1,0.0264,0.8,0.149,0.0882,0.345,75.409,4
spotify:track:6sSrD8uesPV7dOqpPTUEJE,"Harnessed In Slums","Vee Vee","Archers Of Loaf",1995,196266,0,false,,2010-12-03T13:51:52Z,"noise rock,indie rock","Alias",0.442,0.942,9,-6.226,1,0.0573,0.0166,0,0.226,0.72,142.857,4
spotify:track:5EiSA0fh44kg0boh9ExaT1,"Nevermind The Enemy","Vee Vee","Archers Of Loaf",1995,151666,0,false,,2010-12-03T13:51:52Z,"noise rock,indie rock","Alias",0.492,0.832,0,-6.313,1,0.0427,0.286,0.000561,0.153,0.878,134.244,4
spotify:track:1TxrV4UEMnJrE9FH7kjnzo,"Greatest Of All Time","Vee Vee","Archers Of Loaf",1995,231133,0,false,,2010-12-03T13:51:52Z,"noise rock,indie rock","Alias",0.307,0.574,9,-8.462,1,0.032,0.273,0,0.172,0.443,173.774,4
spotify:track:3ODb55HUtF87TKCzpfVelP,"Underdogs Of Nipomo","Vee Vee","Archers Of Loaf",1995,210973,0,false,,2010-12-03T13:51:52Z,"noise rock,indie rock","Alias",0.448,0.955,10,-7.473,1,0.0453,0.161,0.00458,0.127,0.63,134.984,4
spotify:track:4p6UYRm9JKXbNcMUdXVg8D,"Floating Friends","Vee Vee","Archers Of Loaf",1995,228800,0,false,,2010-12-03T13:51:52Z,"noise rock,indie rock","Alias",0.288,0.624,5,-8.458,1,0.0342,0.305,0.287,0.0691,0.61,174.189,4
spotify:track:6KdB9W3X0fA45FT9x41czU,"1985","Vee Vee","Archers Of Loaf",1995,52600,0,false,,2010-12-03T13:51:52Z,"noise rock,indie rock","Alias",0.654,0.33,2,-19.471,1,0.0649,0.599,0.838,0.167,0.721,121.454,5
spotify:track:3g9SsyVF2uOSHckDpeBJm8,"Fabricoh","Vee Vee","Archers Of Loaf",1995,185666,0,false,,2010-12-03T13:51:52Z,"noise rock,indie rock","Alias",0.363,0.987,2,-6.027,1,0.115,0.289,0.000264,0.11,0.139,127.987,4
spotify:track:1odXjmtLzQjy9dN6DsDZJd,"Nostalgia","Vee Vee","Archers Of Loaf",1995,78733,0,false,,2010-12-03T13:51:52Z,"noise rock,indie rock","Alias",0.47,0.996,11,-8.369,0,0.0578,0.033,0.000042,0.326,0.1,140.292,4
spotify:track:7AP2HYzO4QGavItvw0E20b,"Let The Loser Melt","Vee Vee","Archers Of Loaf",1995,212133,0,false,,2010-12-03T13:51:52Z,"noise rock,indie rock","Alias",0.57,0.825,7,-7.684,1,0.0288,0.00976,0.00651,0.11,0.737,130.688,4
spotify:track:3DUNvsQSK1M1WM9CqUW5hq,"Death In The Park","Vee Vee","Archers Of Loaf",1995,210733,0,false,,2010-12-03T13:51:52Z,"noise rock,indie rock","Alias",0.576,0.879,7,-7.876,1,0.0303,0.141,0.000188,0.148,0.75,129.731,4
spotify:track:2N9S6STrirUfbPT1YRMoyv,"The Worst Has Yet Tto Come","Vee Vee","Archers Of Loaf",1995,170933,0,false,,2010-12-03T13:51:52Z,"noise rock,indie rock","Alias",0.466,0.979,6,-6.866,0,0.0357,0.104,0.00345,0.402,0.89,119.039,4
spotify:track:2b8UrzAIQiX6xveAFkNrnF,"Underachievers March And Fight Song","Vee Vee","Archers Of Loaf",1995,442093,0,false,,2010-12-03T13:51:52Z,"noise rock,indie rock","Alias",0.474,0.000114,4,-9.146,1,0.0665,0.469,0.000189,0.0703,0.333,129.238,4
spotify:track:3Y7acSOciOKpsp8jQKAJIZ,"What Did You Expect?","Archers Of Loaf","Archers Of Loaf",1993,161426,2,false,,2010-12-03T13:51:52Z,"noise rock,indie rock","Alias",0.322,0.931,4,-8.753,0,0.061,0.413,0.901,0.633,0.389,116.409,4
spotify:track:2RgchJuYBvijlONDMiB4CF,"Ethel Merman","Archers Of Loaf","Archers Of Loaf",1993,193506,1,false,,2010-12-03T13:51:52Z,"noise rock,indie rock","Alias",0.454,0.978,7,-9.127,1,0.0427,0.133,0.806,0.0699,0.607,137.69,4
