Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2cVN8OPyFi6pPL0Q0PlvTL,"After All - 1999 Remastered Version","The Man Who Sold The World","David Bowie",1970-11-04,235466,0,false,,2012-07-24T08:45:51Z,"glam rock,art rock","Parlophone UK",0.251,0.248,9,-14.686,0,0.0335,0.525,0.364,0.244,0.122,86.26,4
spotify:track:0eSQdxHFZGZNLWhRGtPwj7,"Let's Get It Started","The Crack Capone","DJ Roc",2010-10-18,205560,0,false,,2012-07-24T08:46:39Z,"footwork,baltimore club,chicago house","Planet Mu",0.594,0.536,1,-8.845,1,0.302,0.0015,0.000257,0.359,0.231,159.867,4
spotify:track:6M1XjRtGEzJYZzBnwmo4Z2,"Joyful Exaltation feat. Bajka","Earthology","Whitefield Brothers",2010-01-19,117132,14,false,,2012-07-24T08:47:05Z,"jazz funk","Now Again Records",0.574,0.886,5,-7.672,0,0.0909,0.238,0.782,0.242,0.84,118.41,4
spotify:track:76qxluilGfYYKhFzl8uaIV,"Money and Food - Remix","Money","Jeremiah Jae",2012-05-14,139005,0,true,,2012-07-24T08:47:21Z,"jazz rap,experimental hip hop","Brainfeeder",0.382,0.82,7,-7.23,1,0.248,0.44,0,0.36,0.122,105.92,3
spotify:track:0nBkq14sfONjw9jKKGQs14,"Wow","Quarantine","Laurel Halo",2012-05-21,83026,0,false,,2012-07-24T08:47:46Z,"art pop,ambient,drone,experimental,idm","Hyperdub",0.167,0.0509,4,-10.293,0,0.0393,0.88,0.776,0.209,0.0335,81.593,3
spotify:track:4LkbEnlO75wigowlzFOaFm,"Lullaby For Lagos","Black Man’s Cry: The Influence and Inspiration of Fela Kuti","Whitefield Brothers",2010-02-23,158412,6,false,,2012-07-24T08:48:06Z,"jazz funk","Now Again Records",0.474,0.453,7,-10.96,1,0.038,0.588,0.889,0.0752,0.533,114.984,4
spotify:track:35XjtKqKN5py2mUC9ZSX3j,"Dumb","Holkham Drones","Luke Abbott",2010-08-23,107466,0,false,,2012-07-24T08:48:30Z,"idm","Border Community",0.318,0.00165,6,-27.346,1,0.0533,0.984,0.912,0.106,0.353,139.239,1
spotify:track:50EOIJeSikTjLb9TOVcnXm,"Niger: Orchestra of the Sultan of Zindar","African Rhythms and Instruments, Vol. 1 (Ritmi e strumenti africani)","Unknown",1975-07-27,76040,0,false,,2012-07-24T08:48:52Z,"vallenato,lo-fi house","Albatros",0.65,0.749,8,-12.721,1,0.0544,0.488,0.904,0.421,0.582,97.535,4
spotify:track:4bmecw1EpEF14Fb5hXoMJy,"The Unexpected","Duck Season Vol. 3","Doom;Sean Price",2008-10-28,265106,0,false,,2012-07-24T08:50:46Z,"dubstep,east coast hip hop,underground hip hop,boom bap,hardcore hip hop","Nature Sounds",0.613,0.529,1,-12.41,1,0.282,0.0984,0,0.172,0.479,177.424,4
spotify:track:0RDcyJ1gBH6R2NZwbVyFbb,"Come1","Room(s)","Machinedrum",2011-07-25,373443,0,false,,2012-07-24T08:51:13Z,"footwork,idm,glitch,drumstep","Planet Mu",0.304,0.874,7,-7.934,1,0.0679,0.00512,0.859,0.0951,0.383,191.722,5
