Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5wxKKET9nVR2IGGxFeQ4gB,"Ecstasy","You're Nothing","Iceage",2013-02-18,148773,0,false,5forty,2013-06-13T03:08:23Z,"post-punk,noise rock","2152 Escho via DiGiDi.org",0.135,0.919,9,-4.667,0,0.124,0.00886,0.165,0.415,0.0932,71.867,4
spotify:track:3uVfn1XmBJuYlvpPTvm1H5,"Coalition","You're Nothing","Iceage",2013-02-18,123173,0,false,5forty,2013-06-13T03:08:23Z,"post-punk,noise rock","2152 Escho via DiGiDi.org",0.163,0.92,5,-3.371,1,0.0672,0.000175,0.0000023,0.687,0.185,112.728,4
spotify:track:21zRJKR5GPXZtZhmAG8wlg,"Interlude","You're Nothing","Iceage",2013-02-18,103386,0,false,5forty,2013-06-13T03:08:23Z,"post-punk,noise rock","2152 Escho via DiGiDi.org",0.356,0.671,9,-12.577,1,0.057,0.377,0.868,0.166,0.0554,109.558,4
spotify:track:2HEClsvK0tSUVWLsUgxLeP,"Burning Hand","You're Nothing","Iceage",2013-02-18,201320,0,false,5forty,2013-06-13T03:08:23Z,"post-punk,noise rock","2152 Escho via DiGiDi.org",0.158,0.591,9,-5.018,0,0.0637,0.000397,0.0667,0.379,0.225,102.765,4
spotify:track:1SYl0GZjxBQ9UvCVG9sut0,"In Haze","You're Nothing","Iceage",2013-02-18,180533,0,false,5forty,2013-06-13T03:08:23Z,"post-punk,noise rock","2152 Escho via DiGiDi.org",0.272,0.992,0,-3.101,1,0.0823,0.00234,0.0193,0.381,0.0886,101.307,4
spotify:track:1urAbEWviNjaZ7LavhkeCc,"Morals","You're Nothing","Iceage",2013-02-18,200333,0,false,5forty,2013-06-13T03:08:23Z,"post-punk,noise rock","2152 Escho via DiGiDi.org",0.259,0.792,4,-6.613,1,0.04,0.323,0.888,0.171,0.126,143.614,4
spotify:track:6kVKOSZNJrm5gHUjqH8pCN,"Everything Drifts","You're Nothing","Iceage",2013-02-18,160853,0,false,5forty,2013-06-13T03:08:23Z,"post-punk,noise rock","2152 Escho via DiGiDi.org",0.213,0.909,0,-4.045,1,0.0916,0.0464,0.026,0.112,0.194,103.379,4
spotify:track:6FxnQcobmzw3PFrVQ1NzFU,"Wounded Hearts","You're Nothing","Iceage",2013-02-18,148720,0,false,5forty,2013-06-13T03:08:23Z,"post-punk,noise rock","2152 Escho via DiGiDi.org",0.0656,0.953,9,-4.86,0,0.0782,0.0000234,0.333,0.137,0.27,201.673,4
spotify:track:364WU0kUBWinGWa0ui4sF6,"It Might Hit First","You're Nothing","Iceage",2013-02-18,82173,0,false,5forty,2013-06-13T03:08:23Z,"post-punk,noise rock","2152 Escho via DiGiDi.org",0.148,0.00119,9,-4.256,0,0.81,0.0000744,0.993,0.212,0,106.516,4
spotify:track:3cjiMNZpet05gAV0A22gL4,"Rodfæstet","You're Nothing","Iceage",2013-02-18,105240,0,false,5forty,2013-06-13T03:08:23Z,"post-punk,noise rock","2152 Escho via DiGiDi.org",0.177,0.875,11,-4.546,1,0.137,0.00202,0.686,0.0866,0.169,137.245,4
spotify:track:0TmTau8wOfFAJuh0mSoQMO,"Awake","You're Nothing","Iceage",2013-02-18,146560,0,false,5forty,2013-06-13T03:08:23Z,"post-punk,noise rock","2152 Escho via DiGiDi.org",0.0634,0.954,0,-3.766,1,0.134,0.000146,0.658,0.368,0.0862,194.471,4
spotify:track:7tlXghqng8X5r3N9HYwjx7,"You're Nothing","You're Nothing","Iceage",2013-02-18,104546,0,false,5forty,2013-06-13T03:08:23Z,"post-punk,noise rock","2152 Escho via DiGiDi.org",0,0.311,4,-3.075,1,0,0.000062,0.891,0.165,0,0,0
