Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5USzDbObosj3blqDuzc9cd,"Waking Season","Waking Season","Caspian",2012-09-25,321346,0,false,5forty,2013-07-15T00:23:17Z,"post-rock,math rock","Triple Crown Records",0.25,0.791,10,-7.477,1,0.063,0.728,0.952,0.567,0.194,197.08,3
spotify:track:0ZJowYahILUmpYYW5eFto4,"Despicable Dogs","Small Black EP (Deluxe)","Small Black",2009,233866,0,false,5forty,2013-07-15T00:23:32Z,"chillwave,dream pop","Jagjaguwar",0.426,0.484,2,-6.164,1,0.0345,0.00248,0.865,0.101,0.177,119.569,4
spotify:track:4gvzpr0hjL4G74jBMdfCJI,"No Stranger","Limits Of Desire","Small Black",2013-05-10,272399,0,false,5forty,2013-07-15T00:23:32Z,"chillwave,dream pop","Jagjaguwar",0.507,0.865,0,-5.104,1,0.0335,0.00126,0.00248,0.128,0.305,116.985,4
spotify:track:0bIGxvttHBXkaOOORoybz7,"Our Backs Into the Wind","The Fog Is Rising","Joy Wants Eternity",2012-05-22,341453,3,false,5forty,2013-07-15T00:46:50Z,"post-rock","Joy Wants Eternity",0.273,0.641,9,-8.854,1,0.0356,0.0108,0.914,0.116,0.126,119.661,3
spotify:track:6VrPPwiI2tWArAbh0atqD2,"Shut Your Eyes and You'll Burst Into Flames","The Fog Is Rising","Joy Wants Eternity",2012-05-22,556973,4,false,5forty,2013-07-15T00:46:50Z,"post-rock","Joy Wants Eternity",0.196,0.394,9,-9.341,0,0.039,0.028,0.848,0.114,0.0353,102.354,4
spotify:track:1begl8Bjbo8q1eVtr5XGOV,"Mlàdek","Empros","Russian Circles",2011-10-25,459866,0,false,5forty,2013-07-15T00:57:06Z,"post-rock,sludge metal,math rock,stoner metal,progressive metal","Sargent House",0.223,0.908,6,-5.188,1,0.0704,0.000647,0.876,0.065,0.174,161.61,4
spotify:track:0YodeiUKnpTft8EG0Hi1aP,"Carpe","Enter","Russian Circles",2006,541120,0,false,5forty,2013-07-15T00:57:06Z,"post-rock,sludge metal,math rock,stoner metal,progressive metal","Flameshovel Records",0.302,0.62,2,-10.585,0,0.0361,0.00109,0.856,0.174,0.0389,133.775,4
spotify:track:4DpxW3ejhqmoU8FQ1o5JGL,"Crystalline","In never out","pg.lost",2010-01-08,610240,0,false,5forty,2013-07-15T01:06:56Z,"post-rock,math rock","Pelagic Records",0.552,0.639,2,-8.195,0,0.0329,0.000536,0.787,0.0687,0.0934,137.048,4
spotify:track:5g18OFplx3BTSleJY43pQy,"Terrain","Key","pg.lost",2012-05-18,329280,0,false,5forty,2013-07-15T01:06:56Z,"post-rock,math rock","Pelagic Records",0.442,0.939,2,-5.367,0,0.0702,0.00014,0.782,0.217,0.21,119.553,4
spotify:track:5HISHDHCfSju60YphI43Lb,"The Alter Ego Autopsies","Notes for the Synthesis","The Seven Mile Journey",2011-03-12,1208746,5,false,5forty,2013-07-15T01:10:52Z,"post-rock","Fluttery Records",0.274,0.595,0,-7.511,1,0.0385,0.0413,0.841,0.146,0.0682,125.598,4
spotify:track:54jMQHR2SEwikDhnIfnJej,"Through The Alter Ego Justifications","The Journey Studies","The Seven Mile Journey",2005-06-17,927653,15,false,5forty,2013-07-15T01:10:52Z,"post-rock","Fonogram/VME",0.388,0.455,0,-13.659,0,0.0296,0.187,0.872,0.109,0.0555,99.366,4
spotify:track:0Dpr5Dixtw0ZM5H5VQall8,"Passenger's Log, The Unity Fractions","The Journey Studies","The Seven Mile Journey",2005-06-17,909693,9,false,5forty,2013-07-15T01:10:52Z,"post-rock","Fonogram/VME",0.38,0.396,0,-13.094,0,0.031,0.0416,0.801,0.109,0.0395,114.779,4
