Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7g6OtnTNTP9wyp7sE2hGGl,"Multnomah Falls","Multnomah Falls","Sweeps;luv pug",2026-01-27,123648,26,false,chillhopmusic,2026-01-27T16:41:08Z,"lo-fi beats,lo-fi,jazz beats","Chillhop Music",0.711,0.311,6,-14.155,0,0.138,0.789,0.882,0.0828,0.67,80.001,4
spotify:track:51gyUMyxI5LW0MnRuDzlA6,"Akxnyte","Akxnyte","Philanthrope;invention_",2025-11-20,104086,42,false,chillhopmusic,2026-01-27T16:41:08Z,"lo-fi beats,lo-fi hip hop,lo-fi,jazz beats","Chillhop Music",0.633,0.261,10,-10.057,0,0.283,0.629,0.874,0.112,0.702,160.312,4
spotify:track:5JgkT4dKgcCeoq5utEi372,"Snowbirds","Snowbirds","Enluv",2026-01-14,161089,35,false,chillhopmusic,2026-01-27T16:41:08Z,"lo-fi hip hop,lo-fi,lo-fi beats,jazz beats","Chillhop Music",0.675,0.35,0,-13.926,1,0.0774,0.93,0.898,0.101,0.339,75.024,4
spotify:track:1yxjV9NjR4pKY13ndcqmrn,"Mirage","Chillhop Essentials Winter 2025","Enough Cereals",2025-12-04,150217,39,false,chillhopmusic,2026-01-27T16:41:08Z,"lo-fi beats,jazz beats,lo-fi hip hop,lo-fi","Chillhop Music",0.657,0.356,11,-13.759,0,0.0672,0.517,0.78,0.148,0.145,80.027,4
spotify:track:3qeHD4GeYPQcXyXovKlS6i,"Other Time","Other Time","Monma;Misha",2025-12-09,180000,38,false,chillhopmusic,2026-01-27T16:41:08Z,"lo-fi hip hop,lo-fi beats,lo-fi,jazz beats","Chillhop Music",0.778,0.293,11,-15.703,0,0.311,0.41,0.93,0.149,0.562,88.016,4
spotify:track:5GgvNQGSltEcGVmxpUo1u1,"Elements","Chillhop Timezones Japan","DJ Mitsu The Beats;yutaka hirasaka",2025-11-06,216342,36,false,chillhopmusic,2026-01-27T16:41:08Z,"jazz rap,j-rap,nu jazz,lo-fi hip hop,lo-fi","Chillhop Music",0.508,0.188,5,-9.055,0,0.202,0.8,0.885,0.0639,0.407,166.462,3
spotify:track:21NKvUTRH4LKW7F0QgZo6E,"At First There Was Rain","Chillhop Essentials Winter 2025","goosetaf;Idan Morim",2025-12-04,146053,40,false,chillhopmusic,2026-01-27T16:41:08Z,"lo-fi hip hop,lo-fi,lo-fi beats","Chillhop Music",0.766,0.434,4,-10.203,1,0.0436,0.907,0.897,0.113,0.25,120.112,4
spotify:track:0WtaDN6WiJkh4NIVkVFEne,"City Lights","City Lights","Enough Cereals",2025-11-11,179277,48,false,chillhopmusic,2026-01-27T16:41:08Z,"lo-fi beats,jazz beats,lo-fi hip hop,lo-fi","Chillhop Music",0.634,0.584,2,-11.506,0,0.0439,0.654,0.76,0.113,0.249,82.998,4
spotify:track:69H8iHl99mKJxRsChBmo2v,"Soulistica","Chillhop Essentials Winter 2025","The BREED",2025-12-04,110578,41,false,chillhopmusic,2026-01-27T16:41:08Z,"lo-fi beats,jazz beats,jazz rap,lo-fi","Chillhop Music",0.684,0.566,5,-9.709,0,0.132,0.252,0.318,0.0972,0.757,78.985,3
spotify:track:2ZfZVPkY3S1w1lnpTj0mRk,"Point of Departure","Chillhop Timezones Japan","Mecca:83;Yuichiro Kato",2025-11-06,229717,37,false,chillhopmusic,2026-01-27T16:41:08Z,"lo-fi beats,jazz beats,jazz rap,nu jazz,lo-fi hip hop","Chillhop Music",0.523,0.462,5,-5.994,1,0.035,0.791,0.895,0.131,0.333,86.008,4
spotify:track:4awX7suIRWqC0nCkrsY7js,"Always White","Chillhop Essentials Winter 2025","dennisivnvc;Dani Catalá",2025-12-04,116969,41,false,chillhopmusic,2026-01-27T16:41:08Z,"lo-fi,jazz beats,lo-fi beats","Chillhop Music",0.665,0.394,2,-11.414,0,0.0443,0.795,0.861,0.115,0.3,73.984,4
spotify:track:2fDdgDW0h5Udw5s9zRZiL9,"Machine Learning","Machine Learning","L'Indécis;ØDYSSEE",2025-11-27,155996,39,false,chillhopmusic,2026-01-27T16:41:08Z,"lo-fi beats,jazz beats,lo-fi,lo-fi hip hop,jazz rap","Chillhop Music",0.425,0.399,10,-12.019,0,0.109,0.798,0.0469,0.355,0.295,87.848,4
spotify:track:0lVw4MC6mglmxaC6gZAzni,"Older","Older","Mac Kay",2025-11-18,151205,36,false,chillhopmusic,2026-01-27T16:41:08Z,"lo-fi beats,lo-fi hip hop","Chillhop Music",0.723,0.468,1,-10.518,1,0.0397,0.188,0.86,0.202,0.352,124.003,4
