Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7L2fEnkPj4KicvOkP7uUNd,"...And The Hazy Sea","Why There Are Mountains","Cymbals Eat Guitars",2009-09-29,373480,0,false,5forty,2016-11-07T09:12:47Z,"noise rock","Sister's Den Records",0.167,0.457,4,-7.972,1,0.0369,0.0156,0.256,0.704,0.245,79.311,4
spotify:track:1rQy03wiTUFkbXi5nTOIob,"Metarie","Lapalco","Brendan Benson",2002,206880,0,false,5forty,2017-02-13T09:51:04Z,"power pop,jangle pop","Startime",0.345,0.625,9,-7.534,1,0.0316,0.111,0.00645,0.341,0.431,140.672,4
spotify:track:4E5Qi2xstvKu3QzEFlc4uU,"The Agency Group","Alvvays","Alvvays",2014-07-21,271226,0,false,5forty,2017-05-22T12:59:11Z,"dream pop,shoegaze,jangle pop,indie","Transgressive",0.397,0.812,0,-4.464,1,0.0397,0.216,0.818,0.118,0.466,115.767,4
spotify:track:6iMDSqiiGkzB7fwU3y42iE,"Alan Is a Cowboy Killer","Mclusky Do Dallas","Mclusky",2002-02-25,249693,0,false,5forty,2017-05-24T09:25:53Z,"noise rock,post-hardcore","Too Pure",0.297,0.941,2,-7.046,1,0.0635,0.0000105,0.5,0.254,0.217,111.041,4
spotify:track:7CEmvOrMOUXFUzYhktGCsH,"Shy","Ashes Grammar","A Sunny Day In Glasgow",2009-09-15,344000,0,false,5forty,2017-05-24T09:26:00Z,"shoegaze,dream pop","Mis Ojos Discos",0.396,0.765,7,-6.871,1,0.0365,0.0000839,0.687,0.195,0.173,144.985,4
spotify:track:31GWgAIj7rMnlgpTM0zbin,"White Child","Love","Amen Dunes",2014-05-13,314706,0,false,5forty,2017-05-24T12:42:05Z,"","Sacred Bones Records",0.218,0.607,2,-7.114,1,0.0326,0.63,0.45,0.0903,0.232,90.67,4
spotify:track:1QV6deYIVMotvtF7XSfaQr,"Evangeline","How I Loved You","Angels Of Light",2001-03-05,525800,29,false,5forty,2017-05-24T13:01:44Z,"neofolk,alt country,folk rock,slowcore,drone metal","Young God Records",0.376,0.316,2,-9.246,1,0.0301,0.567,0.865,0.0895,0.0647,145.007,3
spotify:track:17z65LFVRqSVJCMyjfrBm9,"Cause = Time","You Forgot It In People","Broken Social Scene",2003-03-11,330853,48,true,5forty,2017-05-25T16:34:00Z,"baroque pop,indie rock,indie","Arts & Crafts",0.378,0.551,7,-8.527,1,0.0393,0.00092,0.00748,0.204,0.347,148.583,4
spotify:track:3JAZAhqVWqHzb8kbH5YxM6,"Colour Television","Primary Colours","Eddy Current Suppression Ring",2009-07-01,293960,21,false,5forty,2017-05-26T09:01:31Z,"garage rock","Goner",0.564,0.867,4,-4.936,1,0.0306,0.00681,0.746,0.0758,0.482,130.134,4
spotify:track:4irAlt0vIV331ZzTxD3oa7,"King Of Song","This World Is Not Enough","Marching Church",2015-03-20,288312,6,false,5forty,2017-05-26T09:07:08Z,"post-punk","Posh Isolation",0.178,0.718,10,-6.353,1,0.0531,0.0182,0.00000568,0.103,0.408,77.803,4
