Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:779wr271UxoxiQjtsdLDNE,"Soon","Loveless","my bloody valentine",1991-11-04,418773,0,false,cowboysviktor,2009-10-25T13:24:14Z,"shoegaze,dream pop,slowcore,noise rock","Creation Records",0.425,0.831,6,-12.434,0,0.0384,0.00000678,0.822,0.354,0.726,109.588,4
spotify:track:5WN2X0dm8DcHAJaBSAC5q2,"Only Shallow","Loveless","my bloody valentine",1991-11-04,257693,0,false,,1970-01-01T00:00:00Z,"shoegaze,dream pop,slowcore,noise rock","Creation Records",0.156,0.552,0,-13.297,1,0.0405,0.000717,0.848,0.0861,0.403,170.156,4
spotify:track:06uX7B6TIooDnZ0c0BfaU5,"Sometimes","Loveless","my bloody valentine",1991-11-04,319533,0,false,,1970-01-01T00:00:00Z,"shoegaze,dream pop,slowcore,noise rock","Creation Records",0.345,0.634,7,-17.956,1,0.0667,0.0000686,0.881,0.115,0.0676,128.455,4
spotify:track:4VSH2Mz6pJqJU51ba1zoMk,"Souvlaki Space Station","Souvlaki","Slowdive",1993,359066,0,false,,1970-01-01T00:00:00Z,"shoegaze,dream pop,slowcore","SBK/EMI RECORDS",0.387,0.581,4,-8.842,0,0.03,0.00225,0.78,0.134,0.464,137.962,4
spotify:track:2GywFv8hBtTntqZBR13Qrl,"Vapour Trail","Nowhere","Ride",1990-10-15,258733,0,false,,1970-01-01T00:00:00Z,"shoegaze,dream pop,britpop,madchester,jangle pop,slowcore,neo-psychedelic","Sire/Warner Bros.",0.414,0.66,4,-10.246,1,0.0319,0.000691,0.846,0.078,0.426,107.409,4
spotify:track:55CenVQ4alvDJ1PS8aYB0m,"Alison","Souvlaki","Slowdive",1993,231893,0,false,,1970-01-01T00:00:00Z,"shoegaze,dream pop,slowcore","SBK/EMI RECORDS",0.279,0.423,4,-12.06,1,0.038,0.00957,0.837,0.128,0.291,101.571,4
spotify:track:7wE4l1GNxjE2kOmlsx0PcA,"When The Sun Hits","Souvlaki","Slowdive",1993,287466,0,false,,1970-01-01T00:00:00Z,"shoegaze,dream pop,slowcore","SBK/EMI RECORDS",0.322,0.529,2,-12.58,1,0.0272,0.000821,0.585,0.1,0.184,93.68,4
spotify:track:0ChyPbRdUbMuu349rT2pZy,"Catch The Breeze","Just For A Day","Slowdive",1991,257333,45,false,,1970-01-01T00:00:00Z,"shoegaze,dream pop,slowcore","Creation Records",0.253,0.476,9,-11.949,1,0.0345,0.0000807,0.845,0.0561,0.169,92.798,4
spotify:track:19QGKOXTqmk1ezHQpiUIwA,"Pearl - 12'' Version","Best Of","Chapterhouse",2007-05-05,314706,37,false,,1970-01-01T00:00:00Z,"shoegaze,dream pop,madchester,slowcore","Sony BMG Music Entertainment",0.395,0.9,7,-5.868,1,0.0392,0.0000763,0.904,0.223,0.629,100.079,4
spotify:track:4BAkg1d0rahQ5HyBe40SRq,"When You Sleep","Loveless","my bloody valentine",1991-11-04,252000,0,false,,1970-01-01T00:00:00Z,"shoegaze,dream pop,slowcore,noise rock","Creation Records",0.404,0.806,11,-12.251,1,0.047,0.000411,0.789,0.237,0.148,128.911,4
spotify:track:0Qe9bd3ID0SX9Opc9c3pCw,"Dreams Burn Down","Waves","Ride",2003-10-07,385066,0,false,,1970-01-01T00:00:00Z,"shoegaze,dream pop,britpop,madchester,jangle pop,slowcore,neo-psychedelic","Ignition",0.275,0.649,2,-5.851,1,0.0413,0.0000314,0.579,0.194,0.408,119.294,4
