Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6WH9P9WSOIBLyBd94shan2,"The Last Line","Visits","Tammar",2011-09-20,303413,0,false,,2012-03-21T15:10:21Z,"space rock","Suicide Squeeze Records",0.482,0.616,10,-11.261,1,0.0297,0.00000948,0.735,0.124,0.288,129.411,4
spotify:track:6We4wmfvVMReXTCLytYzyW,"Love Slave","The Hit Parade","The Wedding Present",2003-02-10,190733,7,false,,2012-03-21T15:37:05Z,"jangle pop,madchester","RCA Camden",0.386,0.622,2,-11.745,1,0.104,0.00155,0.91,0.095,0.29,124.426,4
spotify:track:0tqPdq1PtwqtabuerWvv85,"Just Like Honey","Rhino Hi-Five: Jesus And Mary Chain","The Jesus and Mary Chain",2006-07-18,182040,0,false,,2012-03-21T15:39:22Z,"shoegaze,post-punk,dream pop,noise rock,new wave","Rhino/Warner Bros.",0.328,0.638,8,-8.839,1,0.0438,0.000291,0.0892,0.0414,0.51,121.857,4
spotify:track:2el2ZdJzUZ1xo1XiJ0fjkB,"Zola","Zola","Wonder Villains",2011-10-16,164353,0,false,,2012-03-21T15:41:09Z,"","No Dancing Records",0.36,0.797,4,-1.756,1,0.0444,0.0389,0,0.188,0.6,104.946,4
spotify:local:Bitches:Buster+EP:Housebreaker:119,"Housebreaker","Buster EP","Bitches",,119000,0,false,,2012-03-21T15:41:25Z,"","undefined",,,,,,,,,,,,
spotify:track:0SGcmc8sLOYfXJrfe0snFE,"One Day I Will Teach You To Let Go Of Your Fears","sleepmakeswaves (USA)","sleepmakeswaves",2012-01-12,379906,35,false,,2012-03-21T15:42:20Z,"post-rock,math rock","Bird's Robe Records",0.215,0.496,6,-10.522,0,0.0361,0.197,0.909,0.0805,0.0595,103.029,3
spotify:track:3Q3jpylPjHavzbYf5PygmG,"Heave","Out...Don't","Gauntlet Hair",2010-10-14,161610,0,false,,2012-03-21T15:43:09Z,"","Mexican Summer",0.46,0.991,5,-0.834,0,0.228,0.00264,0.000382,0.719,0.159,131.177,4
spotify:track:7D9nXqyXTqvP01ZqUrt2uA,"Oh My God","Cults","Cults",2011-05-23,199000,29,false,,2012-03-21T15:44:14Z,"","ITNO/Columbia",0.404,0.958,10,-3.192,1,0.0499,0.0000346,0.00000363,0.362,0.859,159.977,4
spotify:track:2SJMm1mWgcy3pj2gMfwRiQ,"Truck","Hello, Avalanche","The Octopus Project",2007-10-16,129933,20,false,,2012-03-21T15:45:00Z,"","Peek-A-Boo",0.186,0.868,9,-7.649,1,0.0588,0.0211,0.208,0.0852,0.322,95,3
spotify:track:6XvrTOUx0EX0IvuvCmJb1X,"But When She Left, Gone Was the Glow","The Twilight Sad","The Twilight Sad",2006,235240,0,false,,2012-03-21T15:46:15Z,"shoegaze,post-punk","FatCat Records",0.208,0.486,1,-6.077,0,0.0599,0.721,0.00614,0.503,0.576,109.868,4
